en_US,ru_RU,fr_FR
Emma,Эмма,Emma
Fahrenheit 451,451 градус по Фаренгейту,Fahrenheit 451
Faust,Фауст,Faust
For Whom the Bell Tolls,По ком звонит звонок Толлс,Pour qui sonne le glas
Frankenstein,Франкенштейн,Frankenstein
Freakonomics,Фрикономика,Freakonomics
Go Tell It on the Mountain,"Иди, расскажи это на горе",Allez le dire sur la montagne
Gone with the Wind,Унесённые ветром,Autant en emporte le vent
Great Expectations,Большие надежды,Les Grandes Espérances
Grimms' Fairy Tales,Сказки братьев Гримм,Les Contes de Grimm
Gulliver's Travels,Путешествия Гулливера,Les Voyages de Gulliver
Hamlet,Гамлет,Hamlet
Harry Potter and the Sorcerer's Stone,Гарри Поттер и философский камень,Harry Potter à l'école des sorciers
Heart of Darkness,Сердце тьмы,Au cœur des ténèbres
Herzog,Герцог,Herzog
His Dark Materials,Тёмные начала,À la croisée des mondes
Hitting the line,Попасть в ловушку,À la frontière
Housekeeping,Домохозяйство,Le ménage
"I, Claudius","Я, Клавдий","Moi, Claudius"
If on a Winter's Night a Traveler,Если зимней ночью путник,Si un voyageur par une nuit d'hiver
In Cold Blood,Хладнокровное убийство,Dans le froid Sang
In Search of Lost Time,В поисках утраченного времени,À la recherche du temps perdu
Invisible Man,Человек-невидимка,L'Homme invisible
It,Оно,Ça
Jane Eyre,Джейн Эйр,Jane Eyre
Josefine Mutzenbacher,Жозефина Муценбахер,Joséfine Mutzenbacher
Jude the Obscure,Джуд Незаметный,Jude l'obscur
L.A. Confidential,Секреты Лос-Анджелеса,L.A. Confidential
Leaves of Grass,Листья травы,Feuilles d'herbe
Les Miserables,Отверженные,Les Misérables
Life of Pi,Жизнь Пи,L'Odyssée de Pi
Little Women,Маленькие женщины,Les Quatre Filles du Docteur March
Lolita,Лолита,Lolita
Long Walk to Freedom,Долгий путь к свободе,Un long chemin vers la liberté
Lord Jim,Лорд Джим,Lord Jim
Lord of the Flies,Властелин Мухи,Sa Majesté des mouches
Lucky Jim,Счастливчик Джим,Lucky Jim
Madame Bovary,Мадам Бовари,Madame Bovary
Malone Dies,Мэлон умирает,Malone meurt
Meditations,Размышления,Méditations
Men Without Women,Мужчины без женщин,Hommes sans femmes
Metamorphosis,Превращение,Métamorphoses
Middlemarch,Миддлмарч,Middlemarch
Midnight's Children,Дети полуночи,Les Enfants de minuit
Moby Dick,Моби Дик,Moby Dick
Money,Деньги,L'argent
Mrs. Dalloway,Миссис Дэллоуэй,Madame Dalloway
My Bondage and My Freedom,Мои рабства и моя свобода,Mon esclavage et ma liberté
My Life,Моя жизнь,Ma vie
Native Son,Родной сын,Fils indigène
Neuromancer,Нейромант,Neuromancer
Never Let Me Go,Никогда не отпускай меня,Ne me lâche jamais
Nightmare Abbey,Аббатство кошмаров,L'abbaye des cauchemars
Nineteen Eighty Four,1984,1984
Nostromo,Ностромо,Nostromo
Notes from the Underground,Записки из подполья,Carnets du métro
Of Mice and Men,О мышах и людях,Des souris et des hommes
Oliver Twist,Оливер Твист,Oliver Twist
On the Duty of Civil Disobedience,О долге гражданского неповиновения,Du devoir de désobéissance civile
On the Road,В дороге,Sur la route
One Flew Over the Cuckoo's Nest,Пролетая над гнездом кукушки,Vol au-dessus d'un nid de coucou
One Hundred Years of Solitude,Сто лет одиночества,Cent ans de solitude
One Thousand and One Nights,Тысяча и одна ночь,Mille et une nuits
Oscar and Lucinda,Оскар и Люсинда,Oscar et Lucinda
Pale Fire,Бледный огонь,Feu pâle
Paradise Lost,Потерянный рай,Le paradis perdu
Peter Pan,Питер Пэн,Peter Pan
Portnoy's Complaint,Жалоба Портного,Portnoy et son complexe
Pride and Prejudice,Гордыня «И предубеждение»,Orgueil et préjugés
"Rabbit, Run","«Кролик, беги»","Lapin, cours"
Republic,«Республика»,République
Revolutionary Road,«Дорога перемен»,La Route de la Révolution
Robinson Crusoe,«Робинзон Крузо»,Robinson Crusoé
Romeo and Juliet,«Ромео и Джульетта»,Roméo et Juliette
Ruth Fielding in Alaska,«Рут Филдинг на Аляске»,Ruth Fielding en Alaska
Scoop,«Сенсация»,Scoop
Second Treatise of Government,«Второй трактат о правлении»,Second Traité de gouvernement
Slaughterhouse Five,«Бойня номер пять»,Abattoir n°5
Stories of Anton Chekhov,Рассказы Антона Чехова,Histoires d'Anton Tchekhov
Sybil,«Сивилла»,Sybil
Tess of the d'Urbervilles,«Тэсс из рода д’Эрбервиллей»,Tess d'Urberville
The Adventures of Augie March,«Приключения Оги Марча»,Les Aventures d'Augie March
The Adventures of Huckleberry Finn,«Приключения Гекльберри Финна»,Les Aventures de Huckleberry Finn
The Adventures of Sherlock Holmes,«Приключения Шерлока Холмса»,Les Aventures de Sherlock Holmes
The Adventures of Tom Sawyer,«Приключения Тома Сойера»,Les Aventures de Tom Sawyer
The Aeneid,«Энеида»,L'Énéide
The Alchemist,«Алхимик»,L'Alchimiste
The Ambassadors,«Послы»,Les Ambassadeurs
The Art of War,«Искусство войны»,L'Art de la guerre
The Big Sleep,«Глубокий сон»,Le Grand Sommeil
The Black Sheep,«Паршивая овца»,Le Mouton noir
The Blue Castle,«Голубой замок»,Le Château bleu
The Brief Wondrous Life of Oscar Wao,«Короткая удивительная жизнь Оскара Уо»,La brève et merveilleuse vie d'Oscar Wao
The Brothers Karamazov,«Братья Карамазовы»,Les Frères Karamazov
The Call of the Wild,«Зов предков»,L'Appel de la forêt
The Canterbury Tales,«Кентерберийские рассказы»,Les Contes de Canterbury
The Catcher in the Rye,«Над пропастью во ржи»,L'Attrape-cœurs
The Color Purple,«Цветы лиловые полей»,La Couleur pourpre
The Complete Works of Edgar Allen Poe,Полное собрание сочинений Эдгара Аллана По,L'Œuvre complète d'Edgar Allen Poe
The Corrections,«Поправки»,Les Corrections
The Count of Monte Cristo,«Граф Монте-Кристо»,Le Comte de Monte-Cristo
The Day of the Locust,«День саранчи»,Le Jour de la Sauterelle
The Diary of a Nobody,«Дневник неизвестного»,Le Journal d'un inconnu
The Diary of a Young Girl,«Дневник юной девушки»,Le Journal d'une jeune fille
The Divine Comedy,«Божественная комедия»,La Divine Comédie
The Enchanted April,«Волшебный апрель»,Avril enchanté
The Fountainhead,«Источник»,La Source vive
The Golden Bowl,«Золотая чаша»,La Coupe d'or
The Golden Notebook,«Золотая тетрадь»,Le Cahier d'or
The Good Soldier,«Бравый солдат»,Le Bon Soldat
The Grapes of Wrath,«Гроздья гнева»,Les Raisins de la colère
The Great Gatsby,«Великий Гэтсби»,Gatsby le Magnifique
The Handmaid's Tale,«Рассказ служанки»,La Servante écarlate
The Heart is a Lonely Hunter,«Сердце — одинокий охотник»,Le Cœur est un chasseur solitaire
The Heart of the Matter,«Суть дела»,Au cœur du problème
The Hobbit,«Хоббит»,Le Hobbit
The Hound of the Baskervilles,«Собака Баскервилей»,Le Chien des Baskerville
The Idiot,«Идиот»,Le L'Idiot
The Iliad,«Илиада»,L'Iliade
The King in Yellow,«Король в жёлтом»,Le Roi en jaune
The Kite Runner,«Бегущий за ветром»,Les Cerfs-volants de Kaboul
"The Lion, the Witch, and the Wardrobe","«Лев, колдунья и платяной шкаф»","Le Lion, la Sorcière blanche et l'Armoire magique"
The Little Prince,«Маленький принц»,Le Petit Prince
The Lord of the Rings,«Властелин колец»,Le Seigneur des anneaux
The Magic Mountain,«Волшебная гора»,La Montagne magique
The Maltese Falcon,«Мальтийский сокол»,Le Faucon maltais
The Master and Margarita,«Мастер и Маргарита»,Le Maître et Marguerite
The Moviegoer,«Кинозритель»,Le Cinéphile
The Naked and the Dead,«Нагие и мёртвые»,Le Nu et le Mort
The Odyssey,«Одиссея»,L'Odyssée
The Old Man and the Sea,«Старик и море»,Le Vieil Homme et la Mer
The Pickwick Papers,«Пиквик» Документы,Les Dossiers Pickwick
The Picture of Dorian Gray,Портрет Дориана Грея,Le Portrait de Dorian Gray
The Pilgrim's Progress,Путь паломника,Le Voyage du pèlerin
The Pillars of the Earth,Столпы Земли,Les Piliers de la Terre
The Plague,Чума,La Peste
The Portrait of a Lady,Портрет дамы,Le Portrait d'une dame
The Prime of Miss Jean Brodie,Расцвет мисс Джин Броди,L'Âge de glace de Miss Jean Brodie
The Prince,Государь,Le Prince
The Problems of Philosophy,Проблемы философии,Les Problèmes de la philosophie
The Prophet,Пророк,Le Prophète
The Pursuit of Love,В погоне за любовью,La Poursuite de l'amour
The Rainbow,Радуга,L'Arc-en-ciel
The Red and the Black,Красное и чёрное,Le Rouge et le Noir
The Remains of the Day,Остаток дня,Les Vestiges du jour
The Republic,Республика,La République
The Scarlet Letter,Алая буква,La Lettre écarlate
The Sleepwalkers,Лунатики,Les Somnambules
The Sound and the Fury,Шум и ярость,Le Bruit et la Fureur
The Stand,Противостояние,Le Fléau
The Strange Case of Dr. Jekyll and Mr. Hyde,Странная история доктора Джекила и мистера Хайда,L'Étrange Cas du Dr Jekyll et de M. Hyde
The Stranger,Посторонний,L'Étranger
The Sun Also Rises,И восходит солнце,Le Soleil se lève aussi
The Thirty-Nine Steps,Тридцать девять шагов,Les Trente-neuf Marches
The Three Musketeers,Три мушкетёра,Les Trois Mousquetaires
The Time Machine,Машина времени,La Machine à explorer le temps
The Tin Drum,Жестяной барабан,Le Tambour
The Trial,Процесс,Le Procès
The War of the Worlds,Война миров,La Guerre des mondes
The Waste Land,Бесплодная земля,La Terre vaine
The Way We Live Now,Как мы живём сейчас,Notre façon de vivre maintenant
The Wind in the Willows,Ветер в ивах,Le Vent dans les saules
The Woman in White,Женщина в белом,La Dame en blanc
The Wonderful Wizard of Oz,Удивительный волшебник из страны Оз,Le Magicien d'Oz
The Works of Edgar Allan Poe,Сочинения Эдгара Аллана По,Les Œuvres d'Edgar Allan Poe
The Yellow Wallpaper,Жёлтые обои,Le Papier peint jaune
Things Fall Apart,Всё рушится,Le Tout s'écroule
"Tinker, Tailor, Soldier, Spy","Лудильщик, портной, солдат, шпион","La Taupe, le Taureau, le Soldat, l'Espion"
To Kill a Mockingbird,Убить пересмешника,Du silence et des ombres
To the Lighthouse,На маяк,Le Phare
Tom Jones,Том Джонс,Tom Jones
Treasure Island,Остров сокровищ,L'Île au trésor
Tristram Shandy,Тристрам Шенди,Tristram Shandy
Tropic of Cancer,Тропик Рака,Tropique du Cancer
U.S.A. Trilogy,Трилогия «США»,Trilogie américaine
Ulysses,Улисс,Ulysse
Uncle Tom's Cabin,Хижина дяди Тома,La Case de l'oncle Tom
Under the Volcano,У подножия вулкана,Sous le volcan
Underworld,Другой мир,Les Enfers
Vanity Fair,Ярмарка тщеславия,La Foire aux vanités
Walden,Уолден,Walden
War and Peace,Война и мир,Guerre et Paix
Watchmen,Хранители,Les Gardiens
Winnie-the-Pooh,Винни-Пух,Winnie l'ourson
Wuthering Heights,Грозовой перевал,Les Hauts de Hurlevent
