en_US,ru_RU,fr_FR
Elizabeth Von Arnim,Элизабет фон Арним,Elizabeth Von Arnim
Emily Brontë,Эмили Бронте,Emily Brontë
Erich Remarque,Эрих Ремарк,Erich Remarque
Ernest Hemingway,Эрнест Хемингуэй,Ernest Hemingway
Evelyn Waugh,Ивлин Во,Evelyn Waugh
F. Scott Fitzgerald,Ф. Скотт Фицджеральд,F. Scott Fitzgerald
Ford Madox Ford,Форд Мэдокс Форд,Ford Madox Ford
Frances Hodgson Burnett,Фрэнсис Ходжсон Бернетт,Frances Hodgson Burnett
Frank Herbert,Фрэнк Герберт,Frank Herbert
Frank T. Merrill,Фрэнк Т. Меррилл,Frank T. Merrill
Franz Kafka,Франц Кафка,Franz Kafka
Friedrich Wilhelm Nietzsche,Фридрих Вильгельм Ницше,Friedrich Wilhelm Nietzsche
Fyodor Dostoyevsky,Фёдор Достоевский,Fiodor Dostoïevski
G.K. Chesterton,Г. К. Честертон,G.K. Chesterton
Gabriel Garcia Marquez,Габриэль Гарсиа Маркес,Gabriel Garcia Marquez
Geoffrey Chaucer,Джеффри Чосер,Geoffrey Chaucer
George Eliot,Джордж Элиот,George Eliot
George Grossmith,Джордж Гроссмит,George Grossmith
George Orwell,Джордж Оруэлл,George Orwell
George R. R. Martin,Джордж Р. Р. Мартин,George R. R. Martin
George Saunders,Джордж Сондерс,George Saunders
Grady Ward,Грейди Уорд,Grady Ward
Graham Greene,Грэм Грин,Graham Greene
Gustave Doré,Гюстав Доре,Gustave Doré
Gustave Flaubert,Гюстав Флобер,Gustave Flaubert
Guy de Maupassant,Ги де Мопассан,Guy de Maupassant
Günter Grass,Гюнтер Грасс,Günter Grass
H.G. Wells,Г. Г. Уэллс,H.G. Wells
H.P. Lovecraft,Г. Ф. Лавкрафт,H.P. Lovecraft
Harper Lee,Харпер Ли,Harper Lee
Harriet Beecher Stowe,Гарриет Бичер-Стоу,Harriet Beecher Stowe
Haruki Murakami,Харуки Мураками,Haruki Murakami
Henrik Ibsen,Генрик Ибсен,Henrik Ibsen
Henry David Thoreau,Генри Дэвид Торо,Henry David Thoreau
Henry Fielding,Генри Филдинг,Henry Fielding
Henry James,Генри Джеймс,Henry James
Henry Miller,Генри Миллер,Henry Miller
Henry Morley,Генри Морли,Henry Morley
Herman Melville,Герман Мелвилл,Herman Melville
Hermann Broch,Герман Брох,Hermann Broch
Homer,Гомер,Homère
Honoré de Balzac,Оноре де Бальзак,Honoré de Balzac
Ian McEwan,Иэн Макьюэн,Ian McEwan
Isabel Florence Hapgood,Изабель Флоренс Хэпгуд,Isabel Florence Hapgood
Italo Calvino,Итало Кальвино,Italo Calvino
J.D. Salinger,Дж. Д. Сэлинджер,J.D. Salinger
J.K. Rowling,Дж. К. Роулинг,J.K. Rowling
J.M. Barrie,Дж. М. Барри,J.M. Barrie
J.R.R. Tolkien,Дж. Р. Р. Толкин,J.R.R. Tolkien
Jack Kerouac,Джек Керуак,Jack Kerouac
Jack London,Джек Лондон,Jack London
Jacob Grimm,Джейкоб Гримм,Jacob Grimm
Jacqueline Crooks,Жаклин Крукс,Jacqueline Crooks
James Baldwin,Джеймс Болдуин,James Baldwin
James Dickey,Джеймс Дики,James Dickey
James Ellroy,Джеймс Эллрой,James Ellroy
James Joyce,Джеймс Джойс,James Joyce
James Patterson,Джеймс Паттерсон,James Patterson
Jane Austen,Джейн Остин,Jane Austen
Johann Wolfgang von Goethe,Иоганн Вольфганг фон Гёте,Johann Wolfgang von Goethe
John Bunyan,Джон Баньян,John Bunyan
John Camden Hotten,Джон Кэмден Хоттен,John Camden Hotten
John Dos Passos,Джон Дос Пассос,John Dos Passos
John Green,Джон Грин,John Green
John Grisham,Джон Гришэм,John Grisham
John Kennedy Toole,Джон Кеннеди Тул,John Kennedy Toole
John Milton,Джон Мильтон,John Milton
John Ormsby,Джон Ормсби,John Ormsby
John Steinbeck,Джон Стейнбек,John Steinbeck
John Updike,Джон Апдайк,John Updike
Jonathan Franzen,Джонатан Франзен,Jonathan Franzen
Jonathan Swift,Джонатан Свифт,Jonathan Swift
Joseph Conrad,Джозеф Конрад,Joseph Conrad
Joseph Heller,Джозеф Хеллер,Joseph Heller
José Rizal,Хосе Рисаль,José Rizal
Judy Blume,Джуди Блюм,Judy Blume
Jules Verne,Жюль Верн,Jules Verne
Junot Diaz,Жюно Диас,Junot Diaz
Karl Marx,Карл Маркс,Karl Marx
Kazuo Ishiguro,Кадзуо Исигуро,Kazuo Ishiguro
Ken Follett,Кен Фоллетт,Ken Follett
Ken Kesey,Кен Кизи,Ken Kesey
Kenneth Grahame,Кеннет Грэм,Kenneth Grahame
Khaled Hosseini,Халед Хоссейни,Khaled Hosseini
Kingsley Amis,Кингсли Эмис,Kingsley Amis
Kurt Vonnegut,Курт Воннегут,Kurt Vonnegut
L. Frank Baum,Л. Фрэнк Баум,L. Frank Baum
L.M. Montgomery,Л. М. Монтгомери,L.M. Montgomery
Laurence Sterne,Лоуренс Стерн,Laurence Sterne
Leo Tolstoy,Лев Толстой,Leo Tolstoï
Lewis Carroll,Льюис Кэрролл,Lewis Carroll
Louisa May Alcott,Луиза Мэй Олкотт,Louisa May Alcott
Louise Maude,Луиза Мод,Louise Maude
Malcolm Lowry,Малкольм Лоури,Malcolm Lowry
Marcel Proust,Марсель Пруст,Marcel Proust
Margaret Atwood,Маргарет Этвуд,Margaret Atwood
Margaret Mitchell,Маргарет Митчелл,Margaret Mitchell
Marilynne Robinson,Мэрилин Робинсон,Marilynne Robinson
Mark Twain,Марк Твен,Mark Twain
Martin Amis,Мартин Эмис,Martin Amis
Mary Shelley,Мэри Шелли,Mary Shelley
Michael Chabon,Майкл Чабон,Michael Chabon
Miguel de Cervantes,Мигель де Сервантес,Miguel de Cervantès
Mikhail Bulgakov,Михаил Булгаков,Mikhaïl Boulgakov
Muriel Spark,Мюриэл Спарк,Muriel Spark
Nancy Mitford,Нэнси Митфорд,Nancy Mitford
Nathanael West,Натанаэль Уэст,Nathanael West
Nathaniel Hawthorne,Натанаэль Готорн,Nathaniel Hawthorne
Neil Gaiman,Нил Гейман,Neil Gaiman
Niccolo Machiavelli,Никколо Макиавелли,Niccolo Machiavel
Norman Mailer,Норман Мейлер,Norman Mailer
Oscar Levy,Оскар Леви,Oscar Levy
Oscar Wilde,Оскар Уайльд,Oscar Wilde
P.G. Wodehouse,П. Г. Вудхауз,P.G. Wodehouse
Paulo Coelho,Пауло Коэльо,Paulo Coelho
Peter Carey,Питер Кэри,Peter Carey
Philip Pullman,Филип Пуллман,Philip Pullman
Philip Roth,Филип Рот,Philip Roth
Plato,Платон,Platon
R.L. Stine,Р. Л. Стайн,R.L. Stine
Rachel Kushner,Рэйчел Кушнер,Rachel Kushner
Ralph Ellison,Ральф Эллисон,Ralph Ellison
Ray Bradbury,Рэй Брэдбери,Ray Bradbury
Raymond Chandler,Рэймонд Чандлер,Raymond Chandler
Richard Wagner,Ричард Вагнер,Richard Wagner
Richard Wright,Ричард Райт,Richard Wright
Richard Yates,Ричард Йейтс,Richard Yates
Roald Dahl,Роальд Даль,Roald Dahl
Robert Graves,Роберт Грейвс,Robert Graves
Robert Louis Stevenson,Роберт Льюис Стивенсон,Robert Louis Stevenson
Robert Penn Warren,Роберт Пенн Уоррен,Robert Penn Warren
Rudyard Kipling,Редьярд Киплинг,Rudyard Kipling
Salman Rushdie,Салман Рушди,Salman Rushdie
Samuel Beckett,Сэмюэл Беккет,Samuel Beckett
Samuel Butler,Сэмюэл Батлер,Samuel Butler
Samuel Richardson,Сэмюэл Ричардсон,Samuel Richardson
Saul Bellow,Сол Беллоу,Saul Bellow
Shivaram Parashuram Bhide,Шиварам Парашурам Бхиде,Shivaram Parashuram Bhide
Sir Arthur Conan Doyle,Сэр Артур Конан Дойл,Sir Arthur Conan Doyle
Sir Richard Francis Burton,Сэр Ричард Фрэнсис Бертон,Sir Richard Francis Burton
Stendhal,Стендаль,Stendhal
Stephen Hawking,Стивен Хокинг,Stephen Hawking
Stephen King,Стивен Кинг,Stephen King
Sun Tzu,Сунь Цзы,Sun Tzu
Suzanne Collins,Сюзанна Коллинз,Suzanne Collins
T. Smollett,Т. Смоллетт,T. Smollett
T.S. Eliot,Т. С. Элиот,T.S. Eliot
Theodore Alois Buckley,Теодор Алоиз Бакли,Theodore Alois Buckley
Theodore Dreiser,Теодор Драйзер,Theodore Dreiser
Thomas Hardy,Томас Харди,Thomas Hardy
Thomas Love Peacock,Томас Лав Пикок,Thomas Love Peacock
Thomas Mann,Томас Манн,Thomas Mann
Toni Morrison,Тони Моррисон,Toni Morrison
Truman Capote,Трумен Капоте,Truman Capote
V.S. Naipaul,В. С. Найпол,V.S. Naipaul
Vance Packard,Вэнс Паккард,Vance Packard
Vatsyayana,Ватьсьяяна,Vatsyayana
Victor Hugo,Виктор Гюго,Victor Hugo
Virgil,Вергилий,Virgile
Virginia Woolf,Вирджиния Вулф,Virginia Woolf
Vladimir Nabokov,Владимир Набоков,Vladimir Nabokov
Voltaire,Вольтер,Voltaire
W.G. Sebald,У. Г. Зебальд,W.G. Sebald
W.K. Marriott,У. К. Марриотт,W.K. Marriott
Walker Percy,Уокер Перси,Walker Percy
Walt Whitman,Уолт Уитмен,Walt Whitman
Walter Scott,Вальтер Скотт,Walter Scott
Wilhelm Grimm,Вильгельм Гримм,Wilhelm Grimm
Wilkie Collins,Уилки Коллинз,Wilkie Collins
William Faulkner,Уильям Фолкнер,William Faulkner
William Gibson,Уильям Гибсон,William Gibson
William Golding,Уильям Голдинг,William Golding
William Makepeace Thackeray,Уильям Мейкпис Теккерей,William Makepeace Thackeray
William Shakespeare,Уильям Шекспир,William Shakespeare
Zadie Smith,Зэди Смит,Zadie Smith
