"Death itself, this unique and poignant novel tells the story of a young girl living in Nazi Germany. Zusak's inventive narrative and powerful characterizations create a profoundly emotional reading experience","Смерть сама по себе — этот уникальный и трогательный роман рассказывает историю молодой девушки, живущей в нацистской Германии. Изобретательное повествование Зусака и яркие образы персонажей создают глубоко эмоциональное впечатление от чтения","La mort elle-même, ce roman unique et poignant raconte l'histoire d'une jeune fille vivant dans l'Allemagne nazie. Le récit inventif et les caractérisations puissantes de Zusak créent une expérience de lecture profondément émouvante. ",,
"A sprawling and ambitious novel, «The Goldfinch» is a deeply character-driven story about art, loss, and love. Tartt's detailed prose immerses the reader in the world of Theo Decker, from the explosion at an art museum to the seedy underbelly of Las Vegas","Размашистый и амбициозный роман «Щегол» — это глубоко проработанная история об искусстве, потерях и любви, затрагивающая личности героев. Подробный язык Тартт погружает читателя в мир Тео Деккера — от взрыва в художественном музее до мрачных уголков Лас-Вегаса","Roman vaste et ambitieux, «Le Chardonneret» est une histoire profondément centrée sur les personnages, qui traite de l'art, de la perte et de l'amour. La prose détaillée de Tartt plonge le lecteur dans l'univers de Theo Decker, de l'explosion d'un musée d'art aux bas-fonds de Las Vegas.",,
"This incredible memoir recounts Tara Westover's journey from a childhood in an isolated, survivalist family to earning a Ph.D. from Cambridge University. It is a powerful testament to the transformative power of education","Эти невероятные мемуары рассказывают о пути Тары Уэстовер от детства в изолированной семье, где всё было наперегонки, до получения докторской степени в Кембриджском университете. Это убедительное свидетельство преобразующей силы образования","Ces mémoires incroyables retrace le parcours de Tara Westover, depuis son enfance au sein d'une famille isolée et survivaliste jusqu'à l'obtention d'un doctorat à l'Université de Cambridge. C'est un témoignage puissant du pouvoir transformateur de l'éducation.",,
"A masterpiece of magical realism, this novel chronicles the multi-generational story of the Buendía family in the fictional town of Macondo. García Márquez weaves a complex tapestry of love, war, and solitude with enchanting and surreal detail","Этот роман, шедевр магического реализма, повествует о многопоколенческой истории семьи Буэндиа в вымышленном городе Макондо. Гарсиа Маркес сплетает сложную ткань любви, войны и одиночества с завораживающими и сюрреалистическими подробностями","Chef-d'œuvre du réalisme magique, ce roman raconte l'histoire multigénérationnelle de la famille Buendía dans la ville fictive de Macondo. García Márquez tisse une tapisserie complexe d'amour, de guerre et de solitude avec des détails enchanteurs et surréalistes. ",,
"This stunning historical novel tells the story of a blind French girl and a young German boy whose paths converge in occupied France during World War II. Doerr’s prose is exquisite and lyrical, creating a deeply moving and unforgettable story.","Этот потрясающий исторический роман рассказывает историю слепой французской девушки и молодого немецкого юноши, чьи пути пересеклись в оккупированной Франции во время Второй мировой войны. Изысканная и лирическая проза Дёрра создаёт глубоко трогательную и незабываемую историю","Ce roman historique époustouflant raconte l'histoire d'une jeune Française aveugle et d'un jeune Allemand dont les chemins convergent dans la France occupée pendant la Seconde Guerre mondiale. La prose de Doerr est exquise et lyrique, créant une histoire profondément émouvante et inoubliable. »",,
"A captivating and glamorous read, this novel uncovers the secrets of a reclusive Hollywood icon. The story is a masterfully crafted tale of love, ambition, and the sacrifices made for fame.","Этот захватывающий и гламурный роман раскрывает секреты голливудской иконы, живущей вдали от цивилизации. Это мастерски написанная история о любви, амбициях и жертвах, принесённых ради славы","Une lecture captivante et glamour, ce roman dévoile les secrets d'une icône hollywoodienne solitaire. L'histoire est un récit magistralement conçu d'amour, d'ambition et de sacrifices pour la gloire.",,
"A breathtaking and tragic re-imagining of the Trojan War, told through the eyes of Patroclus. Miller's writing is both epic and intimate, giving new life to ancient figures and their heart-wrenching love story.","Захватывающее и трагическое переосмысление Троянской войны, рассказанное от лица Патрокла. Произведение Миллера одновременно эпическое и проникновенное, оно дарит новую жизнь античным персонажам и их душераздирающей истории любви","Une réinterprétation à couper le souffle et tragique de la guerre de Troie, racontée à travers le regard de Patrocle. L’écriture de Miller est à la fois épique et intime, donnant une nouvelle vie à des personnages antiques et à leur histoire d’amour déchirante.",,
"From the author of «The Martian» this is a witty and thrilling sci-fi adventure about a lone astronaut tasked with saving humanity. The blend of humor, scientific detail, and high-stakes action makes it an absolute page-turner.","От автора «Марсианина» — остроумное и захватывающее научно-фантастическое приключение об одиноком астронавте, которому поручено спасти человечество. Сочетание юмора, научных подробностей и захватывающего экшена делает книгу невероятно захватывающей","Par l'auteur de Seul sur Mars, voici une aventure de science-fiction pleine d'esprit et palpitante sur un astronaute solitaire chargé de sauver l'humanité. Le mélange d'humour, de détails scientifiques et d'action à fort enjeu en fait un roman captivant.",,
"Set during World War II, this powerful novel follows two sisters in France who are forced to make impossible choices to survive. It is a testament to the strength and resilience of women in the face of immense danger.","Этот сильный роман, действие которого происходит во время Второй мировой войны, рассказывает историю двух сестёр во Франции, вынужденных делать невозможный выбор, чтобы выжить. Он свидетельствует о силе и стойкости женщин перед лицом огромной опасности","Se déroulant pendant la Seconde Guerre mondiale, ce roman puissant suit deux sœurs en France, contraintes de faire des choix impossibles pour survivre. Il témoigne de la force et de la résilience des femmes face à un immense danger.",,
"This thought-provoking novel explores the lives of twin sisters who grow up in a Black community but choose to live in two different worlds—one as a Black woman and the other passing as white. Bennett's story is a compelling examination of identity, race, and family.","Этот заставляющий задуматься роман рассказывает о жизни сестёр-близнецов, выросших в афроамериканской общине, но решивших жить в двух разных мирах: в одном — как чернокожая женщина, а в другом — выдавая себя за белую. История Беннетт — это захватывающее исследование вопросов идентичности, расы и семьи","Ce roman stimulant explore la vie de sœurs jumelles qui grandissent dans une communauté noire, mais choisissent de vivre dans deux mondes différents: l’un en tant que femme noire, l’autre en se faisant passer pour blanche. L’histoire de Bennett est un examen captivant de l’identité, de la race et de la famille.",,
"The first book in a fantastic fantasy series, this is a fast-paced and witty tale of a charming con artist in a city of thieves. It's a high-energy adventure with clever plotting and a vibrant world.",Первая книга в серии фантастического фэнтези. Это динамичная и остроумная история об обаятельном мошеннике в городе воров. Это энергичное приключение с хитроумным сюжетом и ярким миром,"Premier tome d'une série fantastique, voici l'histoire trépidante et pleine d'esprit d'un charmant escroc dans une ville de voleurs. C'est une aventure pleine d'énergie, avec une intrigue astucieuse et un monde vibrant.",,
"A bleak and powerful post-apocalyptic novel, «The Road» follows a father and son on a perilous journey to the coast. The stark, minimalist prose highlights a devastatingly emotional story about love and survival.","Мрачный и сильный постапокалиптический роман «Дорога» повествует об отце и сыне, отправляющихся в опасное путешествие к побережью. Суровая, минималистичная проза раскрывает невероятно эмоциональную историю о любви и выживании","Roman post-apocalyptique sombre et puissant, «La Route» suit un père et son fils dans un périlleux voyage vers la côte. La prose austère et minimaliste met en lumière une histoire d'amour et de survie profondément émouvante.",,
This nonfiction book offers a practical and insightful guide to building good habits and breaking bad ones. Clear provides a simple yet effective framework for making small changes that lead to remarkable results.,"Эта научно-популярная книга предлагает практическое и содержательное руководство по формированию хороших привычек и избавлению от плохих. Clear предлагает простую, но эффективную схему для небольших изменений, которые приводят к выдающимся результатам",Ce livre documentaire offre un guide pratique et perspicace pour développer de bonnes habitudes et se débarrasser des mauvaises. Clear propose un cadre simple mais efficace pour apporter de petits changements qui mènent à des résultats remarquables.,,
A charming and whimsical fantasy novel about a caseworker for magical orphans who finds himself at a unique orphanage with a very peculiar group of children. It is a heartwarming story about finding family in the most unexpected places.,"Очаровательный и причудливый фэнтезийный роман о социальном работнике, помогающем детям-волшебникам, который попадает в уникальный приют с очень странной группой детей. Это трогательная история о поиске семьи в самых неожиданных местах","Un roman fantastique charmant et fantaisiste sur un assistant social pour orphelins magiques qui se retrouve dans un orphelinat unique en son genre, avec un groupe d'enfants très particulier. C'est une histoire touchante sur la recherche d'une famille dans les endroits les plus inattendus.",,
"This book is a captivating blend of murder mystery, coming-of-age story, and nature writing. It beautifully portrays the resilience of a young girl, Kya, as she grows up alone in the North Carolina marshes.","Эта книга — захватывающее сочетание детектива, истории взросления и описания природы. Она прекрасно описывает стойкость юной девушки по имени Киа, которая растёт в одиночестве на болотах Северной Каролины","Ce livre est un mélange captivant de roman policier, de récit initiatique et de récit naturaliste. Il dépeint magnifiquement la résilience d'une jeune fille, Kya, qui grandit seule dans les marais de Caroline du Nord.",,
A modern fable about a shepherd boy who embarks on a journey to find a hidden treasure. It is a simple yet profound story about listening to your heart and following your dreams.,"Современная сказка о пастушке, который отправляется в путешествие на поиски спрятанного сокровища. Это простая, но глубокая история о том, как слушать своё сердце и следовать за своими мечтами",Une fable moderne sur un jeune berger qui se lance dans un voyage à la recherche d'un trésor caché. C'est une histoire simple mais profonde sur l'écoute de son cœur et la poursuite de ses rêves.,,
"This novel is a compelling and atmospheric mystery about a group of classics students at an elite New England college. It is a slow-burn thriller that masterfully explores themes of guilt, obsession, and the nature of evil.","Этот роман — захватывающий и атмосферный детектив о группе студентов, изучающих классику в элитном колледже Новой Англии. Это неторопливый триллер, мастерски раскрывающий темы вины, одержимости и природы зла","Ce roman est un mystère captivant et captivant sur un groupe d'étudiants en lettres classiques dans un collège d'élite de Nouvelle-Angleterre. C'est un thriller lent qui explore avec brio les thèmes de la culpabilité, de l'obsession et de la nature du mal.",,
"A love letter to 1980s pop culture, this sci-fi adventure follows a teenage outcast who embarks on a quest within a virtual reality world. The book is an exhilarating and nostalgic treasure hunt.","Это научно-фантастическое приключение – любовное послание поп-культуре 1980-х годов. История повествует о подростке-изгое, который отправляется на поиски в виртуальном мире. Книга – захватывающая и ностальгическая охота за сокровищами","Déclaration d'amour à la culture pop des années1980, cette aventure de science-fiction suit un adolescent marginalisé qui se lance dans une quête au cœur d'un monde de réalité virtuelle. Ce livre est une chasse au trésor exaltante et nostalgique.",,
"This is an intimate and raw portrayal of a complicated love story between two people navigating social class, mental health, and their intense connection. Rooney's minimalist prose makes the characters feel deeply real and relatable.","Это интимное и откровенное изображение сложной истории любви между двумя людьми, которые сталкиваются с проблемами социального класса, психического здоровья и их сильной связи. Минималистичная проза Руни делает персонажей глубоко реальными и понятными","Il s'agit d'un portrait intime et brut d'une histoire d'amour complexe entre deux personnes qui naviguent entre la classe sociale, la santé mentale et leur connexion intense. La prose minimaliste de Rooney rend les personnages profondément réels et attachants.»",,
"A gothic and philosophical novel that tells the story of a young man who sells his soul for eternal youth and beauty. Wilde's witty and biting prose explores the duality of beauty and corruption, and the cost of a life devoted to pleasure.","Готический и философский роман, рассказывающий историю молодого человека, продавшего душу за вечную молодость и красоту. Остроумная и язвительная проза Уайльда исследует двойственность красоты и порочности, а также цену жизни, посвящённой удовольствиям","Un roman gothique et philosophique qui raconte l'histoire d'un jeune homme qui vend son âme pour la jeunesse et la beauté éternelles. La prose spirituelle et mordante de Wilde explore la dualité de la beauté et de la corruption, ainsi que le coût d'une vie consacrée au plaisir.»",,
A heartwarming and humorous story about a grumpy old man whose solitary life is turned upside down by a new family moving in next door. Backman's novel is a delightful reminder that kindness can be found in the most unexpected places.,"Трогательная и юмористическая история о сварливом старике, чья одинокая жизнь переворачивается с ног на голову с появлением новой семьи по соседству. Роман Бэкмана — восхитительное напоминание о том, что доброту можно найти в самых неожиданных местах",Une histoire touchante et pleine d'humour sur un vieil homme grincheux dont la vie solitaire est bouleversée par l'arrivée d'une nouvelle famille à côté. Le roman de Backman nous rappelle avec enthousiasme que la gentillesse peut se trouver dans les endroits les plus inattendus.,,
"Set against the backdrop of Afghanistan's tumultuous history, this novel is a powerful and emotional story of friendship, betrayal, and redemption. It is a deeply moving and unforgettable read.","Этот роман, действие которого разворачивается на фоне бурной истории Афганистана, — сильная и эмоциональная история дружбы, предательства и искупления. Это глубоко трогательное и незабываемое чтение","Avec pour toile de fond l'histoire tumultueuse de l'Afghanistan, ce roman est une histoire puissante et émouvante d'amitié, de trahison et de rédemption. C'est une lecture profondément émouvante et inoubliable.",,
"A dystopian young adult novel that thrusts readers into a brutal competition for survival. It is a fast-paced and thrilling story that explores themes of sacrifice, power, and media manipulation.","Антиутопический роман для подростков, который вовлекает читателей в жестокую борьбу за выживание. Это динамичная и захватывающая история, исследующая темы жертвенности, власти и манипуляции средствами массовой информации","Un roman dystopique pour jeunes adultes qui plonge les lecteurs dans une compétition brutale pour la survie. C'est une histoire palpitante et rythmée qui explore les thèmes du sacrifice, du pouvoir et de la manipulation médiatique.",,
This epic fantasy series is a monumental achievement in world-building and storytelling. It follows the hobbit Frodo Baggins on a perilous quest to destroy a powerful ring and save Middle-earth from darkness.,"Эта эпическая фэнтезийная серия — монументальное достижение в построении миров и повествовании. Она повествует о хоббите Фродо Бэггинсе, который отправляется в опасное путешествие, чтобы уничтожить могущественное кольцо и спасти Средиземье от тьмы",Cette série de fantasy épique est une prouesse monumentale en termes de construction d'univers et de narration. Elle suit le hobbit Frodon Sacquet dans une quête périlleuse pour détruire un puissant anneau et sauver la Terre du Milieu des ténèbres.,,
"This timeless novel is a poignant and powerful story about racial injustice and moral integrity in the American South. The narrative, told from the perspective of a young girl named Scout Finch, is both a coming-of-age story and a profound exploration of prejudice.","Этот вневременной роман — пронзительная и сильная история о расовой несправедливости и моральных принципах на американском Юге. Повествование, рассказанное от лица юной девушки по имени Скаут Финч, — это одновременно история взросления и глубокое исследование предрассудков","Ce roman intemporel est une histoire poignante et puissante sur l’injustice raciale et l’intégrité morale dans le Sud des États-Unis. Le récit, raconté du point de vue d’une jeune fille nommée Scout Finch, est à la fois un récit de passage à l’âge adulte et une exploration profonde des préjugés.",,
A chilling and prescient dystopian novel that imagines a totalitarian society where women are stripped of their rights and forced into servitude. Atwood’s masterful prose creates a terrifying and thought-provoking world that remains disturbingly relevant.,"Леденящий душу и пророческий роман-антиутопия, повествующий о тоталитарном обществе, где женщины лишены прав и принуждены к рабству. Мастерская проза Этвуд создает ужасающий и заставляющий задуматься мир, который до сих пор вызывает тревогу и остается актуальным","Un roman dystopique glaçant et prémonitoire qui imagine une société totalitaire où les femmes sont privées de leurs droits et contraintes à la servitude. La prose magistrale d'Atwood crée un univers terrifiant et stimulant, qui reste d'une actualité troublante.",,
"This Pulitzer Prize-winning novel is a haunting and poetic story about the legacy of slavery. It follows a formerly enslaved woman named Sethe and the malevolent spirit that haunts her home, creating a powerful and unforgettable exploration of trauma and memory.","Этот роман, удостоенный Пулитцеровской премии, — захватывающая и поэтичная история о наследии рабства. Он повествует о бывшей рабыне по имени Сэти и злобном духе, который преследует её дом, создавая мощное и незабываемое исследование травмы и памяти","Ce roman, lauréat du prix Pulitzer, est une histoire poétique et troublante sur l'héritage de l'esclavage. Il suit Sethe, une ancienne esclave, et l'esprit maléfique qui hante sa maison, créant une exploration puissante et inoubliable du traumatisme et de la mémoire.",,
A stark and beautiful post-apocalyptic novel that follows a father and son on a harrowing journey across a ruined landscape. McCarthy’s minimalist prose makes for a powerful and deeply emotional story of survival and love.,"Жёсткий и красивый постапокалиптический роман, повествующий об отце и сыне, которые отправляются в мучительное путешествие по разрушенным землям. Минималистская проза Маккарти создаёт мощную и глубоко эмоциональную историю о выживании и любви","Un roman post-apocalyptique, à la fois sombre et magnifique, qui suit un père et son fils dans un voyage poignant à travers un paysage en ruines. La prose minimaliste de McCarthy crée une histoire puissante et profondément émouvante de survie et d'amour.»",,
"This witty and delightful romance novel is a staple of classic literature. Austen’s keen social commentary and brilliant characters, particularly the headstrong Elizabeth Bennet and the proud Mr. Darcy, make this a timeless and entertaining read.","Этот остроумный и восхитительный любовный роман – неотъемлемая часть классической литературы. Проницательный социальный анализ и яркие персонажи Остин, особенно своенравная Элизабет Беннет и гордый мистер Дарси, делают его увлекательным и неподвластным времени чтением","Ce roman d'amour plein d'esprit et délicieux est un classique de la littérature. Le commentaire social perspicace d'Austen et ses personnages brillants, en particulier l'entêtée Elizabeth Bennet et le fier M. Darcy, en font une lecture intemporelle et divertissante.",,
"Told from the perspective of an English butler, this novel is a quiet and melancholic masterpiece about duty, regret, and unspoken feelings. Ishiguro's subtle and elegant prose perfectly captures the stifled emotions of a man living in the past.","Этот роман, рассказанный от лица английского дворецкого, — тихий и меланхоличный шедевр о долге, сожалениях и невысказанных чувствах. Тонкая и изящная проза Исигуро прекрасно передает подавленные эмоции человека, живущего прошлым","Raconté du point de vue d'un majordome anglais, ce roman est un chef-d'œuvre calme et mélancolique sur le devoir, le regret et les sentiments inexprimés. La prose subtile et élégante d'Ishiguro capture parfaitement les émotions contenues d'un homme vivant dans le passé.",,
"A sprawling and epic tale of good versus evil set in a post-apocalyptic world ravaged by a super-flu. King’s ability to craft complex characters and an immense, detailed world makes this a monumental work of horror and suspense.","Пространная и эпическая история о борьбе добра со злом, действие которой разворачивается в постапокалиптическом мире, охваченном супергриппом. Способность Кинга создавать сложных персонажей и огромный, детализированный мир делает это произведение монументальным произведением ужаса и напряжения","Un récit épique et tentaculaire du bien contre le mal, se déroulant dans un monde post-apocalyptique ravagé par une super-grippe. La capacité de King à créer des personnages complexes et un monde immense et détaillé en fait une œuvre monumentale d'horreur et de suspense.",,
"The first novel in the Discworld series, this book is a hilarious and inventive fantasy parody. Pratchett introduces a world balanced on the backs of four elephants, which stand on the shell of a giant turtle, and a cast of memorable and comically inept characters.","Первый роман в серии «Плоский мир», эта книга — уморительная и изобретательная пародия на фэнтези. Пратчетт представляет мир, балансирующий на спинах четырёх слонов, которые стоят на панцире гигантской черепахи, и команду запоминающихся и комично нелепых персонажей","Premier roman de la série Disque-Monde, ce livre est une parodie de fantasy hilarante et inventive. Pratchett y présente un monde reposant sur le dos de quatre éléphants, perchés sur la carapace d'une tortue géante, et une galerie de personnages mémorables et comiquement incompétents.",,
"Set in Jackson, Mississippi, in the 1960s, this novel tells the story of a young writer who interviews Black maids about their experiences. It is a heartfelt and moving story that sheds light on the harsh realities of racial inequality and the power of human connection.","Действие этого романа происходит в Джексоне, штат Миссисипи, в 1960-х годах. Он рассказывает историю молодого писателя, который берёт интервью у чернокожих горничных об их жизни. Это искренняя и трогательная история, проливающая свет на суровую реальность расового неравенства и силу человеческих связей","Se déroulant à Jackson, dans le Mississippi, dans les années1960, ce roman raconte l'histoire d'une jeune écrivaine qui interroge des domestiques noires sur leurs expériences. C'est une histoire touchante et touchante qui met en lumière les dures réalités des inégalités raciales et le pouvoir des liens humains.",,
"A deceptively simple yet profoundly moving dystopian novel about friendship, love, and what it means to be human. Ishiguro creates a haunting and poignant story that slowly reveals a devastating truth about its characters’ lives.","Обманчиво простой, но глубоко трогательный антиутопический роман о дружбе, любви и о том, что значит быть человеком. Исигуро создаёт захватывающую и трогательную историю, которая постепенно раскрывает разрушительную правду о жизни персонажей","Un roman dystopique d'une simplicité trompeuse, mais profondément émouvant, sur l'amitié, l'amour et la nature humaine. Ishiguro crée une histoire poignante et troublante qui révèle peu à peu une vérité dévastatrice sur la vie de ses personnages.»",,
"This novel is a compelling and unique story told in the style of an oral history about a fictional 1970s rock band. The story of their rise and dramatic fall is a gripping read, filled with the a tumultuous relationships and the creative chaos of the era.","Этот роман — захватывающая и уникальная история, рассказанная в стиле устного рассказа о вымышленной рок-группе 1970-х годов. История их взлёта и драматического падения — захватывающее чтение, наполненное бурными отношениями и творческим хаосом той эпохи","Ce roman est une histoire captivante et unique, racontée à la manière d'une histoire orale sur un groupe de rock fictif des années1970. L'histoire de leur ascension et de leur chute dramatique est une lecture captivante, remplie des relations tumultueuses et du chaos créatif de l'époque.»",,
"This is a beautiful and haunting fantasy novel about a woman who makes a deal with the devil to live forever but is cursed to be forgotten by everyone she meets. It's a poignant meditation on love, memory, and the value of leaving a mark on the world.","Это прекрасный и захватывающий фэнтезийный роман о женщине, которая заключает сделку с дьяволом, чтобы жить вечно, но проклята быть забытой всеми, кого встречает. Это пронзительное размышление о любви, памяти и ценности оставленного следа в мире","Ce roman fantastique, magnifique et envoûtant, raconte l'histoire d'une femme qui conclut un pacte avec le diable pour vivre éternellement, mais qui est condamnée à être oubliée par tous ceux qu'elle rencontre. C'est une méditation poignante sur l'amour, la mémoire et l'importance de laisser une trace dans le monde.",,
A thought-provoking and comforting book about a woman who gets the chance to see all the lives she could have lived. It's an imaginative and moving exploration of regret and the importance of finding happiness in the life you have.,"Заставляющая задуматься и вселяющая утешение книга о женщине, получившей возможность увидеть все жизни, которые она могла бы прожить. Это творческое и трогательное исследование сожалений и важности нахождения счастья в той жизни, которая у тебя есть",Un livre stimulant et réconfortant sur une femme qui a la chance de voir toutes les vies qu'elle aurait pu vivre. C'est une exploration imaginative et émouvante du regret et de l'importance de trouver le bonheur dans la vie qu'on a.,,
This psychological thriller is a whirlwind of twists and turns that will keep you guessing until the very end. The story of a live-in maid who uncovers dark secrets about her employers is a fast-paced and addictive read.,"Этот психологический триллер — водоворот неожиданных поворотов, который будет держать вас в напряжении до самого конца. История о горничной, которая раскроет тёмные тайны своих работодателей, — захватывающее и захватывающее чтение",Ce thriller psychologique est un tourbillon de rebondissements qui vous tiendra en haleine jusqu'au bout. L'histoire d'une domestique à domicile qui découvre de sombres secrets sur ses employeurs est une lecture trépidante et addictive.,,
"A powerful historical fiction novel that honors the often-overlooked female veterans of the Vietnam War. It is a heartfelt story of courage, sacrifice, and the enduring bonds of friendship forged in the face of war and a divided nation.","Мощный исторический роман, посвящённый женщинам-ветеранам Вьетнамской войны, которых часто игнорируют. Это трогательная история о мужестве, самопожертвовании и крепких узах дружбы, закалённых перед лицом войны и разделённой нации","Un roman historique percutant qui rend hommage aux femmes vétérans de la guerre du Vietnam, souvent oubliées. C'est une histoire touchante de courage, de sacrifice et de liens d'amitié durables forgés face à la guerre et à une nation divisée.",,
