en_US,ru_RU,fr_FR
Elizabeth Von Arnim,Элизабет фон Арним,Elizabeth Von Arnim
Emily Brontë,Эмили Бронте,Emily Brontë
Erich Remarque,Эрих Ремарк,Erich Remarque
Ernest Hemingway,Эрнест Хемингуэй,Ernest Hemingway
Evelyn Waugh,Ивлин Во,Evelyn Waugh
F. Scott Fitzgerald,Ф. Скотт Фицджеральд,F. Scott Fitzgerald
Ford Madox Ford,Форд Мэдокс Форд,Ford Madox Ford
Frances Hodgson Burnett,Фрэнсис Ходжсон Бернетт,Frances Hodgson Burnett
Frank Herbert,Фрэнк Герберт,Frank Herbert
Frank T. Merrill,Фрэнк Т. Меррилл,Frank T. Merrill
Franz Kafka,Франц Кафка,Franz Kafka
Friedrich Wilhelm Nietzsche,Фридрих Вильгельм Ницше,Friedrich Wilhelm Nietzsche
Fyodor Dostoyevsky,Фёдор Достоевский,Fiodor Dostoïevski
G.K. Chesterton,Г. К. Честертон,G.K. Chesterton
Gabriel Garcia Marquez,Габриэль Гарсиа Маркес,Gabriel Garcia Marquez
Geoffrey Chaucer,Джеффри Чосер,Geoffrey Chaucer
George Eliot,Джордж Элиот,George Eliot
George Grossmith,Джордж Гроссмит,George Grossmith
George Orwell,Джордж Оруэлл,George Orwell
George R. R. Martin,Джордж Р. Р. Мартин,George R. R. Martin
George Saunders,Джордж Сондерс,George Saunders
Grady Ward,Грейди Уорд,Grady Ward
Graham Greene,Грэм Грин,Graham Greene
Gustave Doré,Гюстав Доре,Gustave Doré
Gustave Flaubert,Гюстав Флобер,Gustave Flaubert
Guy de Maupassant,Ги де Мопассан,Guy de Maupassant
Günter Grass,Гюнтер Грасс,Günter Grass
H.G. Wells,Г. Г. Уэллс,H.G. Wells
H.P. Lovecraft,Г. Ф. Лавкрафт,H.P. Lovecraft
Harper Lee,Харпер Ли,Harper Lee
Harriet Beecher Stowe,Гарриет Бичер-Стоу,Harriet Beecher Stowe
Haruki Murakami,Харуки Мураками,Haruki Murakami
Henrik Ibsen,Генрик Ибсен,Henrik Ibsen
Henry David Thoreau,Генри Дэвид Торо,Henry David Thoreau
Henry Fielding,Генри Филдинг,Henry Fielding
Henry James,Генри Джеймс,Henry James
Henry Miller,Генри Миллер,Henry Miller
Henry Morley,Генри Морли,Henry Morley
Herman Melville,Герман Мелвилл,Herman Melville
Hermann Broch,Герман Брох,Hermann Broch
Homer,Гомер,Homère
Honoré de Balzac,Оноре де Бальзак,Honoré de Balzac
Ian McEwan,Иэн Макьюэн,Ian McEwan
Isabel Florence Hapgood,Изабель Флоренс Хэпгуд,Isabel Florence Hapgood
Italo Calvino,Итало Кальвино,Italo Calvino
J.D. Salinger,Дж. Д. Сэлинджер,J.D. Salinger
J.K. Rowling,Дж. К. Роулинг,J.K. Rowling
J.M. Barrie,Дж. М. Барри,J.M. Barrie
J.R.R. Tolkien,Дж. Р. Р. Толкин,J.R.R. Tolkien
Jack Kerouac,Джек Керуак,Jack Kerouac
Jack London,Джек Лондон,Jack London
Jacob Grimm,Джейкоб Гримм,Jacob Grimm
Jacqueline Crooks,Жаклин Крукс,Jacqueline Crooks
James Baldwin,Джеймс Болдуин,James Baldwin
James Dickey,Джеймс Дики,James Dickey
James Ellroy,Джеймс Эллрой,James Ellroy
James Joyce,Джеймс Джойс,James Joyce
James Patterson,Джеймс Паттерсон,James Patterson
Jane Austen,Джейн Остин,Jane Austen
Johann Wolfgang von Goethe,Иоганн Вольфганг фон Гёте,Johann Wolfgang von Goethe
John Bunyan,Джон Баньян,John Bunyan
John Camden Hotten,Джон Кэмден Хоттен,John Camden Hotten
John Dos Passos,Джон Дос Пассос,John Dos Passos
John Green,Джон Грин,John Green
John Grisham,Джон Гришэм,John Grisham
John Kennedy Toole,Джон Кеннеди Тул,John Kennedy Toole
John Milton,Джон Мильтон,John Milton
John Ormsby,Джон Ормсби,John Ormsby
John Steinbeck,Джон Стейнбек,John Steinbeck
John Updike,Джон Апдайк,John Updike
Jonathan Franzen,Джонатан Франзен,Jonathan Franzen
Jonathan Swift,Джонатан Свифт,Jonathan Swift
Joseph Conrad,Джозеф Конрад,Joseph Conrad
Joseph Heller,Джозеф Хеллер,Joseph Heller
José Rizal,Хосе Рисаль,José Rizal
Judy Blume,Джуди Блюм,Judy Blume
Jules Verne,Жюль Верн,Jules Verne
Junot Diaz,Жюно Диас,Junot Diaz
Karl Marx,Карл Маркс,Karl Marx
Kazuo Ishiguro,Кадзуо Исигуро,Kazuo Ishiguro
Ken Follett,Кен Фоллетт,Ken Follett
Ken Kesey,Кен Кизи,Ken Kesey
Kenneth Grahame,Кеннет Грэм,Kenneth Grahame
Khaled Hosseini,Халед Хоссейни,Khaled Hosseini
Kingsley Amis,Кингсли Эмис,Kingsley Amis
Kurt Vonnegut,Курт Воннегут,Kurt Vonnegut
L. Frank Baum,Л. Фрэнк Баум,L. Frank Baum
L.M. Montgomery,Л. М. Монтгомери,L.M. Montgomery
Laurence Sterne,Лоуренс Стерн,Laurence Sterne
Leo Tolstoy,Лев Толстой,Leo Tolstoï
Lewis Carroll,Льюис Кэрролл,Lewis Carroll
Louisa May Alcott,Луиза Мэй Олкотт,Louisa May Alcott
Louise Maude,Луиза Мод,Louise Maude
Malcolm Lowry,Малкольм Лоури,Malcolm Lowry
Marcel Proust,Марсель Пруст,Marcel Proust
Margaret Atwood,Маргарет Этвуд,Margaret Atwood
Margaret Mitchell,Маргарет Митчелл,Margaret Mitchell
Marilynne Robinson,Мэрилин Робинсон,Marilynne Robinson
Mark Twain,Марк Твен,Mark Twain
Martin Amis,Мартин Эмис,Martin Amis
Mary Shelley,Мэри Шелли,Mary Shelley
Michael Chabon,Майкл Чабон,Michael Chabon
Miguel de Cervantes,Мигель де Сервантес,Miguel de Cervantès
Mikhail Bulgakov,Михаил Булгаков,Mikhaïl Boulgakov
Muriel Spark,Мюриэл Спарк,Muriel Spark
Nancy Mitford,Нэнси Митфорд,Nancy Mitford
Nathanael West,Натанаэль Уэст,Nathanael West
Nathaniel Hawthorne,Натанаэль Готорн,Nathaniel Hawthorne
Neil Gaiman,Нил Гейман,Neil Gaiman
Niccolo Machiavelli,Никколо Макиавелли,Niccolo Machiavel
Norman Mailer,Норман Мейлер,Norman Mailer
Oscar Levy,Оскар Леви,Oscar Levy
Oscar Wilde,Оскар Уайльд,Oscar Wilde
P.G. Wodehouse,П. Г. Вудхауз,P.G. Wodehouse
Paulo Coelho,Пауло Коэльо,Paulo Coelho
Peter Carey,Питер Кэри,Peter Carey
Philip Pullman,Филип Пуллман,Philip Pullman
Philip Roth,Филип Рот,Philip Roth
Plato,Платон,Platon
R.L. Stine,Р. Л. Стайн,R.L. Stine
Rachel Kushner,Рэйчел Кушнер,Rachel Kushner
Ralph Ellison,Ральф Эллисон,Ralph Ellison
Ray Bradbury,Рэй Брэдбери,Ray Bradbury
Raymond Chandler,Рэймонд Чандлер,Raymond Chandler
Richard Wagner,Ричард Вагнер,Richard Wagner
Richard Wright,Ричард Райт,Richard Wright
Richard Yates,Ричард Йейтс,Richard Yates
Roald Dahl,Роальд Даль,Roald Dahl
Robert Graves,Роберт Грейвс,Robert Graves
Robert Louis Stevenson,Роберт Льюис Стивенсон,Robert Louis Stevenson
Robert Penn Warren,Роберт Пенн Уоррен,Robert Penn Warren
Rudyard Kipling,Редьярд Киплинг,Rudyard Kipling
Salman Rushdie,Салман Рушди,Salman Rushdie
Samuel Beckett,Сэмюэл Беккет,Samuel Beckett
Samuel Butler,Сэмюэл Батлер,Samuel Butler
Samuel Richardson,Сэмюэл Ричардсон,Samuel Richardson
Saul Bellow,Сол Беллоу,Saul Bellow
Shivaram Parashuram Bhide,Шиварам Парашурам Бхиде,Shivaram Parashuram Bhide
Sir Arthur Conan Doyle,Сэр Артур Конан Дойл,Sir Arthur Conan Doyle
Sir Richard Francis Burton,Сэр Ричард Фрэнсис Бертон,Sir Richard Francis Burton
Stendhal,Стендаль,Stendhal
Stephen Hawking,Стивен Хокинг,Stephen Hawking
Stephen King,Стивен Кинг,Stephen King
Sun Tzu,Сунь Цзы,Sun Tzu
Suzanne Collins,Сюзанна Коллинз,Suzanne Collins
T. Smollett,Т. Смоллетт,T. Smollett
T.S. Eliot,Т. С. Элиот,T.S. Eliot
Theodore Alois Buckley,Теодор Алоиз Бакли,Theodore Alois Buckley
Theodore Dreiser,Теодор Драйзер,Theodore Dreiser
Thomas Hardy,Томас Харди,Thomas Hardy
Thomas Love Peacock,Томас Лав Пикок,Thomas Love Peacock
Thomas Mann,Томас Манн,Thomas Mann
Toni Morrison,Тони Моррисон,Toni Morrison
Truman Capote,Трумен Капоте,Truman Capote
V.S. Naipaul,В. С. Найпол,V.S. Naipaul
Vance Packard,Вэнс Паккард,Vance Packard
Vatsyayana,Ватьсьяяна,Vatsyayana
Victor Hugo,Виктор Гюго,Victor Hugo
Virgil,Вергилий,Virgile
Virginia Woolf,Вирджиния Вулф,Virginia Woolf
Vladimir Nabokov,Владимир Набоков,Vladimir Nabokov
Voltaire,Вольтер,Voltaire
W.G. Sebald,У. Г. Зебальд,W.G. Sebald
W.K. Marriott,У. К. Марриотт,W.K. Marriott
Walker Percy,Уокер Перси,Walker Percy
Walt Whitman,Уолт Уитмен,Walt Whitman
Walter Scott,Вальтер Скотт,Walter Scott
Wilhelm Grimm,Вильгельм Гримм,Wilhelm Grimm
Wilkie Collins,Уилки Коллинз,Wilkie Collins
William Faulkner,Уильям Фолкнер,William Faulkner
William Gibson,Уильям Гибсон,William Gibson
William Golding,Уильям Голдинг,William Golding
William Makepeace Thackeray,Уильям Мейкпис Теккерей,William Makepeace Thackeray
William Shakespeare,Уильям Шекспир,William Shakespeare
Zadie Smith,Зэди Смит,Zadie Smith
Alexis Soloski,Алексис Солоски,Alexis Soloski
Ella Berman,Элла Берман,Ella Berman
Lauren Grodstein,Лорен Гродштейн,Lauren Grodstein
Xenobe Purvis,Ксенобе Пёрвис,Xenobe Purvis
Esther Freud,Эстер Фрейд,Esther Freud
Elaine Castillo,Элейн Кастильо,Elaine Castillo
Megan Miranda,Меган Миранда,Megan Miranda
Alexander Mccall Smith,Александр Макколл Смит,Alexandre McCall Smith
Claire Adam,Клэр Адам,Claire Adam
Mattie Lubchansky,Мэтти Любчански,Mattie Lubchansky
Mary Watson,Мэри Уотсон,Mary Watson
Daniel Kraus,Дэниел Краус,Daniel Kraus
Daniel Saldaña París,Даниэль Салданья Парис,Daniel Saldaña Paris
Stephanie Wambugu,Стефани Вамбугу,Stéphanie Wambugu
Ed Park,Эд Парк,Ed Park
Cassandra Khaw,Кассандра Хоу,Cassandra Khaw
Ivonne Lamazares,Ивонн Ламазарес,Ivonne Lamazares
Katie Yee,Кэти Йи,Katie Yee
Michael Clune,Майкл Клун,Michael Clune
Mariel Franklin,Мариэль Франклин,Mariel Franklin
J B Hwang,JB Hwang,JB Hwang
Amy Silverberg,Эми Сильверберг,Amy Silverberg
Alex Pavesi,Алекс Павеси,Alex Pavesi
Joe Pan,Джо Пан,Joe Pan
Eloghosa Osunde,Элогоса Осунде,Eloghosa Osunde
Jennifer Givhan,Дженнифер Гивхан,Jennifer Givhan
Dan Fesperman,Дэн Фесперман,Dan Fesperman
Hannah Pittard,Ханна Питтард,Hannah Pittard
Jackie Thomas-kennedy,Джеки Томас-Кеннеди,Jackie Thomas-Kennedy
Morgan Ryan,Морган Райан,Morgan Ryan
Kashana Cauley,Кашана Коули,Kashana Cauley
Giano Cromley,Джано Кромли,Giano Cromley
Vivek Shanbhag,Вивек Шанбхаг,Vivek Shanbhag
Lisa Smith,Лиза Смит,Lisa Smith
Silvia Moreno-garcia,Сильвия Морено-Гарсия,Silvia Moreno-Garcia
Natalie Guerrero,Натали Герреро,Natalie Guerrero
Mark Kurlansky,Марк Курлански,Mark Kurlansky
Tess Sharpe,Тесс Шарп,Tess Sharpe
Kerry Cullen,Керри Каллен,Kerry Cullen
Kate Russo,Кейт Руссо,Kate Russo
Ben Brooks,Бен Брукс,Ben Brooks
Michael Bennett,Майкл Беннетт,Michael Bennett
Daniel O'malley,Дэниел О'Мэлли,Daniel O'Malley
Scott Johnston,Скотт Джонстон,Scott Johnston
Martin Cruz Smith,Мартин Круз Смит,Martin Cruz Smith
Clémence Michallon,Клеманс Мишаллон,Clémence Michallon
Ruth Ware,Рут Уэр,Ruth Ware
Aysegül Savas,Айшегюль Савас,Aysegül Savas
Bruce Holsinger,Брюс Холсингер,Bruce Holsinger
Sarah Maclean,Сара Маклин,Sarah Maclean
Helen Schulman,Хелен Шульман,Hélène Schulman
Loretta Rothschild,Лоретта Ротшильд,Loretta Rothschild
Rachel Joyce,Рэйчел Джойс,Rachel Joyce
Samuel Hawley,Сэмюэл Хоули,Samuel Hawley
Charlotte Runcie,Шарлотта Ранси,Charlotte Runcie
Gary Shteyngart,Гари Штейнгарт,Gary Shteyngart
Camilla Trinchieri,Камилла Тринкьери,Camilla Trinchieri
Rose Keating,Роуз Китинг,Rose Keating
Benedict Nguyen,Бенедикт Нгуен,Benoît Nguyen
Ruben Reyes Jr,Рубен Рейес-младший,Ruben Reyes Jr
Claire Jia,Клэр Цзя,Claire Jia
Morgan Pager,Морган Пейджер,Morgan Pager
Kathy Wang,Кэти Ванг,Kathy Wang
Nell Stevens,Нелл Стивенс,Nell Stevens
Leila Mottley,Лейла Моттли,Leila Mottley
Dwyer Murphy,Дуайер Мерфи,Dwyer Murphy
André Aciman,Андре Асиман,André Aciman
Amy Bloom,Эми Блум,Amy Bloom
Megan Abbott,Меган Эбботт,Megan Abbott
Jennifer Trevelyan,Дженнифер Тревельян,Jennifer Trevelyan
Fran Littlewood,Фрэн Литтлвуд,Fran Littlewood
Hal Ebbott,Хэл Эбботт,Hal Ebbott
Aisling Rawle,Эйслинг Роул,Aisling Rawle
Erica Peplin,Эрика Пеплин,Erica Peplin
Catherine Lacey,Кэтрин Лейси,Catherine Lacey
Ivy Pochoda,Айви Почода,Pochoda lierre
Jonas Hassen Khemiri,Йонас Хассен Хемири,Jonas Hassen Khemiri
James Frey,Джеймс Фрей,James Frey
Karim Dimechkie,Карим Димечки,Karim Dimechkie
Jayson Greene,Джейсон Грин,Jayson Greene
Joyce Carol Oates,Джойс Кэрол Оутс,Joyce Carol Oates
Heather Clark,Хизер Кларк,Heather Clark
Dennard Dayle,Деннард Дейл,Dennard Dayle
Lee Cole,Ли Коул,Lee Cole
Peter Mendelsund,Питер Мендельсунд,Pierre Mendelsund
Michelle Huneven,Мишель Хуневен,Michelle Huneven
Megan Hunter,Меган Хантер,Megan Hunter
Jess Walter,Джесс Уолтер,Jess Walter
S. A. Cosby,СА Косби,SA Cosby
Wally Lamb,Уолли Лэмб,Wally Lamb
Peter Swanson,Питер Свенсон,Peter Swanson
Chris Chibnall,Крис Чибналл,Chris Chibnall
Vanessa Mccausland,Ванесса Маккосланд,Vanessa McCausland
Rob Franklin,Роб Франклин,Rob Franklin
Robert P. Baird,Роберт П. Бэрд,Robert P. Baird
V E Schwab,В. Э. Шваб,VE Schwab
Marie Rutkoski,Мари Рутковски,Marie Rutkoski
Maria Reva,Мария Рева,Maria Reva
Anna Hope,Анна Хоуп,Anna Hope
Lucas Schaefer,Лукас Шефер,Lucas Schaefer
Taylor Jenkins Reid,Тейлор Дженкинс Рид,Taylor Jenkins Reid
Austin Taylor,Остин Тейлор,Austin Taylor
Maggie Stiefvater,Мэгги Стивотер,Maggie Stiefvater
Claire Lynch,Клэр Линч,Claire Lynch
Yrsa Daley-ward,Ирса Дейли-Уорд,Yrsa Daley-ward
Lydi Conklin,Лиди Конклин,Lydi Conklin
Susan Choi,Сьюзан Чой,Susan Choi
Edward St Aubyn,Эдвард Сент-Обин,Edward St Aubyn
Megan Giddings,Меган Гиддингс,Megan Giddings
Jonathan Parks-ramage,Джонатан Паркс-рэмейдж,Jonathan Parks-ramage
Paula Bomer,Паула Бомер,Paula Bomer
Darrow Farr,Дэрроу Фарр,Darrow Farr
Nicola Dinan,Никола Динан,Nicola Dinan
Tochi Onyebuchi,Точи Оньебучи,Tochi Onyebuchi
Jessica Stanley,Джессика Стэнли,Jessica Stanley
Tash Aw,Таш Ав,Tash Aw
Stephen King,Стивен Кинг,Stephen King
Naomi Xu Elegant,Наоми Сю Элегант,Naomi Xu Élégante
Daria Lavelle,Дарья Лавелль,Daria Lavelle
Michael Connelly,Майкл Коннелли,Michael Connelly
Adam Roberts,Адам Робертс,Adam Roberts
Chris Pavone,Крис Павон,Chris Pavone
Richard Bausch,Ричард Бауш,Richard Bausch
Rosalyn Drexler,Розалин Дрекслер,Rosalyn Drexler
Madeleine Thien,Мадлен Тьен,Madeleine Thien
Alison Bechdel,Элисон Бехдель,Alison Bechdel
Donal Ryan,Донал Райан,Donal Ryan
Brendan Slocumb,Брендан Слокумб,Brendan Slocumb
Ocean Vuong,Океан Вуонг,Océan Vuong
Kevin Wilson,Кевин Уилсон,Kevin Wilson
Garrett Carr,Гарретт Карр,Garrett Carr
Honor Jones,Хонор Джонс,Honor Jones
Carl Hiaasen,Карл Хайасен,Carl Hiaasen
Susanna Kwan,Сусанна Кван,Susanna Kwan
Adelaide Faith,Аделаида Фейт,Adélaïde Faith
Lincoln Michel,Линкольн Мишель,Lincoln Michel
Marisa Crane,Мариса Крейн,Marisa Crane
Alex Foster,Алекс Фостер,Alex Foster
Anthony Horowitz,Энтони Горовиц,Anthony Horowitz
Mary Alice Monroe,Мэри Элис Монро,Mary Alice Monroe
Debbie Urbanski,Дебби Урбански,Debbie Urbanski
Jeanine Cummins,Джанин Камминс,Jeanine Cummins
Rickey Fayne,Рики Фейн,Rickey Fayne
Hilary Plum,Хилари Плам,Hilary Plum
Mo Ogrodnik,Мо Огродник,Mo Ogrodnik
Allison Larkin,Эллисон Ларкин,Allison Larkin
Florence Knapp,Флоренс Кнапп,Florence Knapp
Paul Vidich,Пол Видич,Paul Vidich
Jemimah Wei,Джемайма Вэй,Jemimah Wei
Lori Ostlund,Лори Остлунд,Lori Ostlund
Aaron John Curtis,Аарон Джон Кертис,Aaron John Curtis
Christina Li,Кристина Ли,Christina Li
Milo Todd,Майло Тодд,Milo Todd
Marie-helene Bertino,Мари-Элен Бертино,Marie-hélène Bertino
Emily Henry,Эмили Генри,Emily Henry
Lydia Millet,Лидия Миллет,Lydia Millet
Louise Hegarty,Луиза Хегарти,Louise Hegarty
Jo Harkin,Джо Харкин,Jo Harkin
Morgan Jerkins,Морган Джеркинс,Morgan Jerkins
Anne Berest,Энн Берест,Anne Berest
Seán Hewitt,Шон Хьюитт,Sean Hewitt
Jonathan Coe,Джонатан Коу,Jonathan Coe
Austin Kelley,Остин Келли,Austin Kelley
Nettie Jones,Нетти Джонс,Nettie Jones
Andrew Porter,Эндрю Портер,Andrew Porter
Heather Mcgowan,Хизер Макгоуэн,Heather McGowan
Jennifer Weiner,Дженнифер Вайнер,Jennifer Weiner
Kevin Nguyen,Кевин Нгуен,Kevin Nguyen
Kate Folk,Кейт Фолк,Kate Folk
Joe Mungo Reed,Джо Манго Рид,Joe Mungo Reed
Jon Hickey,Джон Хики,Jon Hickey
Belinda Bauer,Белинда Бауэр,Belinda Bauer
Katie Kitamura,Кэти Китамура,Katie Kitamura
Lynn Steger Strong,Линн Стегер Стронг,Lynn Steger Strong
Jennifer Haigh,Дженнифер Хейг,Jennifer Haigh
Amity Gaige,Дружелюбие Гейдж,Amitié Gaige
David Szalay,Дэвид Салей,David Szalay
Ariel Courage,Ариэль Кураж,Ariel Courage
Claire Anderson Wheeler,Клэр Андерсон Уилер,Claire Anderson Wheeler
Chaim Grade,Хаим Грейд,Chaim Grade
Colum Mccann,Колум Макканн,Colum McCann
Nell Zink,Нелл Цинк,Nell Zink
Emma Pattee,Эмма Патти,Emma Pattee
Binnie Kirshenbaum,Бинни Киршенбаум,Binnie Kirshenbaum
Krysten Ritter,Кристен Риттер,Krysten Ritter
Nicholas Binge,Николас Биндж,Nicolas Binge
Boris Fishman,Борис Фишман,Boris Fishman
Sophie Kemp,Софи Кемп,Sophie Kemp
Eliza Kennedy,Элиза Кеннеди,Eliza Kennedy
Lynne Tillman,Линн Тиллман,Lynne Tillman
Gregory Maguire,Грегори Магуайр,Grégory Maguire
Kristen Arnett,Кристен Арнетт,Kristen Arnett
Marcy Dermansky,Марси Дермански,Marcy Dermansky
Emma Donoghue,Эмма Донохью,Emma Donoghue
Abdulrazak Gurnah,Абдулразак Гурнах,Abdulrazak Gurnah
Stephen Graham Jones,Стивен Грэм Джонс,Stephen Graham Jones
Erika T Wurth,Эрика Т. Вурт,Erika T Wurth
Sameer Pandya,Самир Пандья,Sameer Pandya
Ben Okri,Бен Окри,Ben Okri
Stuart Nadler,Стюарт Надлер,Stuart Nadler
Alice Austen,Элис Остин,Alice Austen
Karen Russell,Карен Рассел,Karen Russell
Torrey Peters,Торри Питерс,Torrey Peters
Brian Castleberry,Брайан Каслберри,Brian Castleberry
Sanjena Sathian,Санджена Сатиан,Sanjena Sathian
Lawrence Wright,Лоуренс Райт,Lawrence Wright
Anders Nilsen,Андерс Нильсен,Anders Nilsen
Mariam Rahmani,Мариам Рахмани,Mariam Rahmani
Chris Bohjalian,Крис Бохджалян,Chris Bohjalian
Sarah Harman,Сара Харман,Sarah Harman
Vijay Khurana,Виджай Курана,Vijay Khurana
Emily St James,Эмили Сент-Джеймс,Emily St James
Jeremy Gordon,Джереми Гордон,Jérémy Gordon
Colwill Brown,Колвилл Браун,Colwill Brown
Sanam Mahloudji,Санам Махлуджи,Sanam Mahloudji
Nathaniel Ian Miller,Натаниэль Иэн Миллер,Nathaniel Ian Miller
Ariel Dorfman,Ариэль Дорфман,Ariel Dorfman
Charlotte Mcconaghy,Шарлотта Макконахи,Charlotte McConaghy
Laila Lalami,Лайла Лалами,Laila Lalami
Chimamanda Ngozi Adichie,Чимаманда Нгози Адичи,Chimamanda Ngozi Adichie
Karen Thompson Walker,Карен Томпсон Уокер,Karen Thompson Walker
Ada Calhoun,Ада Калхун,Ada Calhoun
Curtis Sittenfeld,Кертис Ситтенфельд,Curtis Sittenfeld
Michelle De Kretser,Мишель Де Кретсер,Michelle De Kretser
Elyse Durham,Элис Дарем,Élyse Durham
Evie Wyld,Эви Уайлд,Evie Wyld
Eric Puchner,Эрик Пухнер,Éric Puchner
Tove Jansson,Туве Янссон,Tove Jansson
Roisín O'donnell,Росин О'Доннелл,Roisín O'Donnell
Elinor Lipman,Элинор Липман,Elinor Lipman
Anne Tyler,Энн Тайлер,Anne Tyler
Charlotte Wood,Шарлотта Вуд,Charlotte Wood
Lauren Francis-sharma,Лорен Фрэнсис-Шарма,Lauren Francis-Sharma
Callan Wink,Каллан Винк,Callan Wink
Brigitte Giraud,Брижит Жиро,Brigitte Giraud
Fernando A Flores,Фернандо А. Флорес,Fernando A Flores
Ali Smith,Али Смит,Ali Smith
Eowyn Ivey,Эовин Айви,Eowyn Ivey
Allegra Goodman,Аллегра Гудман,Allegra Goodman
Brittany Newell,Бриттани Ньюэлл,Bretagne Newell
Joseph O'connor,Джозеф О'Коннор,Joseph O'Connor
Jón Kalman Stefánsson,Йон Кальман Стефанссон,Jón Kalman Stefánsson
Jessica Soffer,Джессика Соффер,Jessica Soffer
Eva Menasse,Ева Менассе,Eva Menasse
Lucy Rose,Люси Роуз,Lucy Rose
Maggie Su,Мэгги Су,Maggie Su
Betty Shamieh,Бетти Шамиех,Betty Shamieh
Han Kang,Хан Кан,Han Kang
Mischa Berlinski,Миша Берлински,Mischa Berlinski
Mavis Gallant,Мэвис Галлант,Mavis Gallant
Scott Turow,Скотт Туроу,Scott Turow
Tom Lamont,Том Ламонт,Tom Lamont
Tracey Lange,Трейси Лэнг,Tracey Lange
Sara Sligar,Сара Слигар,Sara Sligar
Aria Aber,Ария Абер,Aria Aber
Zora Neale Hurston,Зора Нил Херстон,Zora Neale Hurston
Kate Fagan,Кейт Фейган,Kate Fagan
Rebecca Kauffman,Ребекка Кауфман,Rébecca Kauffman
Caryl Phillips,Кэрил Филлипс,Caryl Phillips
Elizabeth Harris,Элизабет Харрис,Élisabeth Harris
Alafair Burke,Алафаир Берк,Alafair Burke
Emma Knight,Эмма Найт,Emma Knight
Karissa Chen,Карисса Чен,Karissa Chen
Adam Ross,Адам Росс,Adam Ross
Adam Haslett,Адам Хаслетт,Adam Haslett
Lily Tuck,Лили Так,Lily Tuck
Fabienne Josaphat,Фабьенна Жосафат,Fabienne Josaphat
Julia Armfield,Джулия Армфилд,Julia Armfield
Weike Wang,Вейке Ван,Weike Wang
Pat Barker,Пэт Баркер,Pat Barker
Christopher Bollen,Кристофер Боллен,Christophe Bollen
