en_US,ru_RU,fr_FR
Emma,Эмма,Emma
Fahrenheit 451,451 градус по Фаренгейту,Fahrenheit 451
Faust,Фауст,Faust
For Whom the Bell Tolls,По ком звонит звонок Толлс,Pour qui sonne le glas
Frankenstein,Франкенштейн,Frankenstein
Freakonomics,Фрикономика,Freakonomics
Go Tell It on the Mountain,"Иди, расскажи это на горе",Allez le dire sur la montagne
Gone with the Wind,Унесённые ветром,Autant en emporte le vent
Great Expectations,Большие надежды,Les Grandes Espérances
Grimms' Fairy Tales,Сказки братьев Гримм,Les Contes de Grimm
Gulliver's Travels,Путешествия Гулливера,Les Voyages de Gulliver
Hamlet,Гамлет,Hamlet
Harry Potter and the Sorcerer's Stone,Гарри Поттер и философский камень,Harry Potter à l'école des sorciers
Heart of Darkness,Сердце тьмы,Au cœur des ténèbres
Herzog,Герцог,Herzog
His Dark Materials,Тёмные начала,À la croisée des mondes
Hitting the line,Попасть в ловушку,À la frontière
Housekeeping,Домохозяйство,Le ménage
"I, Claudius","Я, Клавдий","Moi, Claudius"
If on a Winter's Night a Traveler,Если зимней ночью путник,Si un voyageur par une nuit d'hiver
In Cold Blood,Хладнокровное убийство,Dans le froid Sang
In Search of Lost Time,В поисках утраченного времени,À la recherche du temps perdu
Invisible Man,Человек-невидимка,L'Homme invisible
It,Оно,Ça
Jane Eyre,Джейн Эйр,Jane Eyre
Josefine Mutzenbacher,Жозефина Муценбахер,Joséfine Mutzenbacher
Jude the Obscure,Джуд Незаметный,Jude l'obscur
L.A. Confidential,Секреты Лос-Анджелеса,L.A. Confidential
Leaves of Grass,Листья травы,Feuilles d'herbe
Les Miserables,Отверженные,Les Misérables
Life of Pi,Жизнь Пи,L'Odyssée de Pi
Little Women,Маленькие женщины,Les Quatre Filles du Docteur March
Lolita,Лолита,Lolita
Long Walk to Freedom,Долгий путь к свободе,Un long chemin vers la liberté
Lord Jim,Лорд Джим,Lord Jim
Lord of the Flies,Властелин Мухи,Sa Majesté des mouches
Lucky Jim,Счастливчик Джим,Lucky Jim
Madame Bovary,Мадам Бовари,Madame Bovary
Malone Dies,Мэлон умирает,Malone meurt
Meditations,Размышления,Méditations
Men Without Women,Мужчины без женщин,Hommes sans femmes
Metamorphosis,Превращение,Métamorphoses
Middlemarch,Миддлмарч,Middlemarch
Midnight's Children,Дети полуночи,Les Enfants de minuit
Moby Dick,Моби Дик,Moby Dick
Money,Деньги,L'argent
Mrs. Dalloway,Миссис Дэллоуэй,Madame Dalloway
My Bondage and My Freedom,Мои рабства и моя свобода,Mon esclavage et ma liberté
My Life,Моя жизнь,Ma vie
Native Son,Родной сын,Fils indigène
Neuromancer,Нейромант,Neuromancer
Never Let Me Go,Никогда не отпускай меня,Ne me lâche jamais
Nightmare Abbey,Аббатство кошмаров,L'abbaye des cauchemars
Nineteen Eighty Four,1984,1984
Nostromo,Ностромо,Nostromo
Notes from the Underground,Записки из подполья,Carnets du métro
Of Mice and Men,О мышах и людях,Des souris et des hommes
Oliver Twist,Оливер Твист,Oliver Twist
On the Duty of Civil Disobedience,О долге гражданского неповиновения,Du devoir de désobéissance civile
On the Road,В дороге,Sur la route
One Flew Over the Cuckoo's Nest,Пролетая над гнездом кукушки,Vol au-dessus d'un nid de coucou
One Hundred Years of Solitude,Сто лет одиночества,Cent ans de solitude
One Thousand and One Nights,Тысяча и одна ночь,Mille et une nuits
Oscar and Lucinda,Оскар и Люсинда,Oscar et Lucinda
Pale Fire,Бледный огонь,Feu pâle
Paradise Lost,Потерянный рай,Le paradis perdu
Peter Pan,Питер Пэн,Peter Pan
Portnoy's Complaint,Жалоба Портного,Portnoy et son complexe
Pride and Prejudice,Гордыня «И предубеждение»,Orgueil et préjugés
"Rabbit, Run","«Кролик, беги»","Lapin, cours"
Republic,«Республика»,République
Revolutionary Road,«Дорога перемен»,La Route de la Révolution
Robinson Crusoe,«Робинзон Крузо»,Robinson Crusoé
Romeo and Juliet,«Ромео и Джульетта»,Roméo et Juliette
Ruth Fielding in Alaska,«Рут Филдинг на Аляске»,Ruth Fielding en Alaska
Scoop,«Сенсация»,Scoop
Second Treatise of Government,«Второй трактат о правлении»,Second Traité de gouvernement
Slaughterhouse Five,«Бойня номер пять»,Abattoir n°5
Stories of Anton Chekhov,Рассказы Антона Чехова,Histoires d'Anton Tchekhov
Sybil,«Сивилла»,Sybil
Tess of the d'Urbervilles,«Тэсс из рода д’Эрбервиллей»,Tess d'Urberville
The Adventures of Augie March,«Приключения Оги Марча»,Les Aventures d'Augie March
The Adventures of Huckleberry Finn,«Приключения Гекльберри Финна»,Les Aventures de Huckleberry Finn
The Adventures of Sherlock Holmes,«Приключения Шерлока Холмса»,Les Aventures de Sherlock Holmes
The Adventures of Tom Sawyer,«Приключения Тома Сойера»,Les Aventures de Tom Sawyer
The Aeneid,«Энеида»,L'Énéide
The Alchemist,«Алхимик»,L'Alchimiste
The Ambassadors,«Послы»,Les Ambassadeurs
The Art of War,«Искусство войны»,L'Art de la guerre
The Big Sleep,«Глубокий сон»,Le Grand Sommeil
The Black Sheep,«Паршивая овца»,Le Mouton noir
The Blue Castle,«Голубой замок»,Le Château bleu
The Brief Wondrous Life of Oscar Wao,«Короткая удивительная жизнь Оскара Уо»,La brève et merveilleuse vie d'Oscar Wao
The Brothers Karamazov,«Братья Карамазовы»,Les Frères Karamazov
The Call of the Wild,«Зов предков»,L'Appel de la forêt
The Canterbury Tales,«Кентерберийские рассказы»,Les Contes de Canterbury
The Catcher in the Rye,«Над пропастью во ржи»,L'Attrape-cœurs
The Color Purple,«Цветы лиловые полей»,La Couleur pourpre
The Complete Works of Edgar Allen Poe,Полное собрание сочинений Эдгара Аллана По,L'Œuvre complète d'Edgar Allen Poe
The Corrections,«Поправки»,Les Corrections
The Count of Monte Cristo,«Граф Монте-Кристо»,Le Comte de Monte-Cristo
The Day of the Locust,«День саранчи»,Le Jour de la Sauterelle
The Diary of a Nobody,«Дневник неизвестного»,Le Journal d'un inconnu
The Diary of a Young Girl,«Дневник юной девушки»,Le Journal d'une jeune fille
The Divine Comedy,«Божественная комедия»,La Divine Comédie
The Enchanted April,«Волшебный апрель»,Avril enchanté
The Fountainhead,«Источник»,La Source vive
The Golden Bowl,«Золотая чаша»,La Coupe d'or
The Golden Notebook,«Золотая тетрадь»,Le Cahier d'or
The Good Soldier,«Бравый солдат»,Le Bon Soldat
The Grapes of Wrath,«Гроздья гнева»,Les Raisins de la colère
The Great Gatsby,«Великий Гэтсби»,Gatsby le Magnifique
The Handmaid's Tale,«Рассказ служанки»,La Servante écarlate
The Heart is a Lonely Hunter,«Сердце — одинокий охотник»,Le Cœur est un chasseur solitaire
The Heart of the Matter,«Суть дела»,Au cœur du problème
The Hobbit,«Хоббит»,Le Hobbit
The Hound of the Baskervilles,«Собака Баскервилей»,Le Chien des Baskerville
The Idiot,«Идиот»,Le L'Idiot
The Iliad,«Илиада»,L'Iliade
The King in Yellow,«Король в жёлтом»,Le Roi en jaune
The Kite Runner,«Бегущий за ветром»,Les Cerfs-volants de Kaboul
"The Lion, the Witch, and the Wardrobe","«Лев, колдунья и платяной шкаф»","Le Lion, la Sorcière blanche et l'Armoire magique"
The Little Prince,«Маленький принц»,Le Petit Prince
The Lord of the Rings,«Властелин колец»,Le Seigneur des anneaux
The Magic Mountain,«Волшебная гора»,La Montagne magique
The Maltese Falcon,«Мальтийский сокол»,Le Faucon maltais
The Master and Margarita,«Мастер и Маргарита»,Le Maître et Marguerite
The Moviegoer,«Кинозритель»,Le Cinéphile
The Naked and the Dead,«Нагие и мёртвые»,Le Nu et le Mort
The Odyssey,«Одиссея»,L'Odyssée
The Old Man and the Sea,«Старик и море»,Le Vieil Homme et la Mer
The Pickwick Papers,«Пиквик» Документы,Les Dossiers Pickwick
The Picture of Dorian Gray,Портрет Дориана Грея,Le Portrait de Dorian Gray
The Pilgrim's Progress,Путь паломника,Le Voyage du pèlerin
The Pillars of the Earth,Столпы Земли,Les Piliers de la Terre
The Plague,Чума,La Peste
The Portrait of a Lady,Портрет дамы,Le Portrait d'une dame
The Prime of Miss Jean Brodie,Расцвет мисс Джин Броди,L'Âge de glace de Miss Jean Brodie
The Prince,Государь,Le Prince
The Problems of Philosophy,Проблемы философии,Les Problèmes de la philosophie
The Prophet,Пророк,Le Prophète
The Pursuit of Love,В погоне за любовью,La Poursuite de l'amour
The Rainbow,Радуга,L'Arc-en-ciel
The Red and the Black,Красное и чёрное,Le Rouge et le Noir
The Remains of the Day,Остаток дня,Les Vestiges du jour
The Republic,Республика,La République
The Scarlet Letter,Алая буква,La Lettre écarlate
The Sleepwalkers,Лунатики,Les Somnambules
The Sound and the Fury,Шум и ярость,Le Bruit et la Fureur
The Stand,Противостояние,Le Fléau
The Strange Case of Dr. Jekyll and Mr. Hyde,Странная история доктора Джекила и мистера Хайда,L'Étrange Cas du Dr Jekyll et de M. Hyde
The Stranger,Посторонний,L'Étranger
The Sun Also Rises,И восходит солнце,Le Soleil se lève aussi
The Thirty-Nine Steps,Тридцать девять шагов,Les Trente-neuf Marches
The Three Musketeers,Три мушкетёра,Les Trois Mousquetaires
The Time Machine,Машина времени,La Machine à explorer le temps
The Tin Drum,Жестяной барабан,Le Tambour
The Trial,Процесс,Le Procès
The War of the Worlds,Война миров,La Guerre des mondes
The Waste Land,Бесплодная земля,La Terre vaine
The Way We Live Now,Как мы живём сейчас,Notre façon de vivre maintenant
The Wind in the Willows,Ветер в ивах,Le Vent dans les saules
The Woman in White,Женщина в белом,La Dame en blanc
The Wonderful Wizard of Oz,Удивительный волшебник из страны Оз,Le Magicien d'Oz
The Works of Edgar Allan Poe,Сочинения Эдгара Аллана По,Les Œuvres d'Edgar Allan Poe
The Yellow Wallpaper,Жёлтые обои,Le Papier peint jaune
Things Fall Apart,Всё рушится,Le Tout s'écroule
"Tinker, Tailor, Soldier, Spy","Лудильщик, портной, солдат, шпион","La Taupe, le Taureau, le Soldat, l'Espion"
To Kill a Mockingbird,Убить пересмешника,Du silence et des ombres
To the Lighthouse,На маяк,Le Phare
Tom Jones,Том Джонс,Tom Jones
Treasure Island,Остров сокровищ,L'Île au trésor
Tristram Shandy,Тристрам Шенди,Tristram Shandy
Tropic of Cancer,Тропик Рака,Tropique du Cancer
U.S.A. Trilogy,Трилогия «США»,Trilogie américaine
Ulysses,Улисс,Ulysse
Uncle Tom's Cabin,Хижина дяди Тома,La Case de l'oncle Tom
Under the Volcano,У подножия вулкана,Sous le volcan
Underworld,Другой мир,Les Enfers
Vanity Fair,Ярмарка тщеславия,La Foire aux vanités
Walden,Уолден,Walden
War and Peace,Война и мир,Guerre et Paix
Watchmen,Хранители,Les Gardiens
Winnie-the-Pooh,Винни-Пух,Winnie l'ourson
Wuthering Heights,Грозовой перевал,Les Hauts de Hurlevent
1979,1979,1979
Flashout,Вспышка,Flashout
L.A. Women,Лос-Анджелес Женщины,Los Angeles Femmes
A Dog in Georgia,Собака в Джорджии,Un chien en Géorgie
The Hounding,Преследование,La traque
My Sister and Other Lovers,Моя сестра и другие любовники,Ma sœur et d'autres amants
Moderation,Модерация,Modération
You Belong Here,Ты здесь свой,Tu appartiens ici
The Winds from Further West,Ветра с запада,Les vents de l'ouest
Love Forms,Формы любви,Formes d'amour
Simplicity,Простота,Simplicité
The Cleaner,Уборщик,Le nettoyeur
Angel Down,Падение Ангела,Ange en bas
The Dance and the Fire,Танец и огонь,La danse et le feu
Lonely Crowds,Одинокие толпы,Foules solitaires
An Oral History of Atlantis: Stories,Устная история Атлантиды: рассказы,Une histoire orale de l'Atlantide : récits
The Library at Hellebore,Библиотека в Хеллеборе,La bibliothèque d'Hellebore
The Tilting House,Наклонный дом,La Maison Basculante
"Maggie; Or, a Man and a Woman Walk Into a Bar","Мэгги, или мужчина и женщина входят в бар","Maggie ; Ou, Un homme et une femme entrent dans un bar"
Pan,Кастрюля,Poêle
Bonding,Склеивание,Collage
"Girl, 1983","Девушка, 1983","Fille, 1983"
Mendell Station,Станция Менделл,Gare de Mendell
"First Time, Long Time","Первый раз, давно","Première fois, longtemps"
Ink Ribbon Red,Красящая лента красная,Ruban encreur rouge
Florida Palms,Флорида Палмс,Palmiers de Floride
Necessary Fiction,Необходимая художественная литература,Fiction nécessaire
Lili Is Crying,Лили плачет,Lili pleure
Salt Bones,Соляные кости,Os de sel
Pariah,Изгой,Paria
"If You Love It, Let It Kill You","Если любишь, пусть убьёт","Si vous l'aimez, laissez-le vous tuer"
The Other Wife,Другая жена,L'autre épouse
A Resistance of Witches,Сопротивление ведьм,Une résistance de sorcières
The Payback,Расплата,La revanche
American Mythology,Американская мифология,mythologie américaine
Sakina's Kiss,Поцелуй Сакины,Le baiser de Sakina
Jamaica Road,Дорога Джамайка,Route de la Jamaïque
The Bewitching,Завораживающий,L'Envoûtant
My Train Leaves at Three,Мой поезд отправляется в три,Mon train part à trois heures
Cheesecake,Чизкейк,Gâteau au fromage
No Body No Crime,Нет тела — нет преступления,"Pas de corps, pas de crime"
House of Beth,Дом Бет,Maison de Beth
Until Alison,Пока Элисон,Jusqu'à Alison
The Greatest Possible Good,Наибольшее возможное благо,Le plus grand bien possible
Carved in Blood: A Hana Westerman Thriller,Высеченные в крови: триллер Ханы Вестерман,Gravé dans le sang : un thriller de Hana Westerman
Royal Gambit,Королевский гамбит,Gambit royal
The Convenience Store by the Sea,Магазин товаров повседневного спроса у моря,Le dépanneur au bord de la mer
The Sandersons Fail Manhattan,Сандерсоны провалили Манхэттен,Les Sanderson échouent à Manhattan
Hotel Ukraine: The Final Arkady Renko Novel,Гостиница «Украина»: Последний роман Аркадия Ренко,Hôtel Ukraine : le dernier roman d'Arkady Renko
Our Last Resort,Наше последнее прибежище,Notre dernier recours
The Woman in Suite 11,Женщина в номере 11,La femme de la suite 11
Long Distance: Stories,Длинные расстояния: Истории,Longue distance : histoires
Culpability,Виновность,Culpabilité
These Summer Storms,Эти летние штормы,Ces tempêtes d'été
Fools for Love: Stories,Дураки от любви: Истории,Fous d'amour : histoires
Finding Grace,В поисках благодати,Trouver la grâce
Killing Stella,Убийство Стеллы,Tuer Stella
The Homemade God,Домашний Бог,Le Dieu fait maison
Daikon,Дайкон,Daïkon
Bring the House Down,Разрушить дом,Faites tomber la maison
"Vera, or Faith","Вера, или Вера","Vera, ou la foi"
Murder in Pitigliano,Убийство в Питильяно,Meurtre à Pitigliano
Oddbody: Stories,Oddbody: Истории,Oddbody : Histoires
Hot Girls with Balls,Горячие девушки с яйцами,Filles chaudes avec des couilles
Archive of Unknown Universes,Архив Неизвестных Вселенных,Archives des univers inconnus
Via Ápia,Виа Апиа,Via Ápia
Hunter,Охотник,Chasseur
Wanting,Желая,Vouloir
The Art of Vanishing,Искусство исчезновения,L'art de disparaître
The Satisfaction Café,Кафе «Удовлетворение»,Le Café de la Satisfaction
The Original,Оригинал,L'original
The Girls Who Grew Big,"Девочки, которые выросли большими",Les filles qui ont grandi
The House on Buzzards Bay,Дом в заливе Баззардс,La maison de Buzzards Bay
Room on the Sea: Three Novellas,Комната на море: три новеллы,Chambre sur la mer : trois nouvelles
I'll Be Right Here,Я буду здесь,Je serai là tout de suite
El Dorado Drive,Эльдорадо Драйв,El Dorado Drive
A Beautiful Family,Прекрасная семья,Une belle famille
The Accidental Favorite,Случайный фаворит,Le favori accidentel
Among Friends,Среди друзей,Entre amis
The Compound,Комплекс,Le composé
I Gave You Eyes and You Looked Toward Darkness,"Я дал тебе глаза, и ты посмотрел в сторону тьмы",Je t'ai donné des yeux et tu as regardé vers les ténèbres
Work Nights,Рабочие ночи,Travail de nuit
The Möbius Book,Книга Мёбиуса,Le livre de Möbius
Ecstasy,Экстази,Extase
The Sisters,Сестры,Les Sœurs
Next to Heaven,Рядом с раем,À côté du paradis
The Uproar,Шум,Le tumulte
Unworld,Немир,Unworld
Fox,Лиса,Renard
The Scrapbook,Альбом для вырезок,Le Scrapbook
How to Dodge a Cannonball,Как увернуться от пушечного ядра,Comment esquiver un boulet de canon
Fulfillment,Исполнение,Accomplissement
Weepers,Плакальщики,Pleureurs
Bug Hollow,Лощина жуков,Bug Hollow
Days of Light,Дни Света,Jours de lumière
So Far Gone,Так далеко зашло,Si loin
King of Ashes,Король пепла,Roi des cendres
The River Is Waiting,Река ждет,La rivière attend
Kill Your Darlings,Убей своих любимых,Tuez vos chéris
Death at the White Hart,Смерть у Белого Оленя,Mort au Cerf Blanc
The Last Illusion of Paige White,Последняя иллюзия Пейдж Уайт,La dernière illusion de Paige White
Great Black Hope,Великая Черная Надежда,Grand espoir noir
The Nimbus,Нимбус,Le Nimbus
Bury Our Bones in the Midnight Soil,Похороните наши кости в полуночной земле,Enterrons nos os dans le sol de minuit
Ordinary Love,Обычная любовь,L'amour ordinaire
Endling,Эндлинг,Fin
Albion,Альбион,Albion
The Slip,Скольжение,Le glissement
Atmosphere: A Love Story,Атмосфера: История любви,Atmosphère : Une histoire d'amour
Notes on Infinity,Заметки о бесконечности,Notes sur l'infini
The Listeners,Слушатели,Les auditeurs
A Family Matter: A Novel,Семейное дело: Роман,Une affaire de famille : un roman
The Catch,Улов,La prise
Songs of No Provenance,Песни без происхождения,Chansons sans provenance
Flashlight,Фонарик,Lampe de poche
Parallel Lines,Параллельные линии,Lignes parallèles
Meet Me at the Crossroads,Встретимся на перекрестке,Rendez-vous à la croisée des chemins
Tramps Like Us,"Бродяги, как мы",Des clochards comme nous
It's Not the End of the World,Это не конец света,Ce n'est pas la fin du monde
Deep Breath,Глубокий вдох,Respiration profonde
The Stalker,Сталкер,Le harceleur
The Bombshell,Бомба,La bombe
Disappoint Me,Разочаровать меня,Déçois-moi
Autocorrect: Stories,Автозамена: Истории,Correction automatique : histoires
Harmattan Season,Сезон Харматтана,Saison de l'Harmattan
Consider Yourself Kissed,Считайте себя поцелованным,Considérez-vous comme embrassé
The South,Юг,Le Sud
Never Flinch,Никогда не дрогните,Ne jamais broncher
Gingko Season,Сезон гинкго,Saison du Gingko
Aftertaste,Послевкусие,Arrière-goût
Nightshade,Паслен,Morelle noire
The Deserters,Дезертиры,Les déserteurs
Food Person,"Человек, занимающийся едой",Personne spécialisée dans la nourriture
The Doorman,Швейцар,Le portier
The Fate of Others: Stories,Судьба других: Истории,Le destin des autres : histoires
To Smithereens,Вдребезги,En miettes
That's All I Know,"Это все, что я знаю",C'est tout ce que je sais
The Book of Records,Книга рекордов,Le Livre des Records
Spent: A Comic Novel,Spent: Комический роман,Dépensé : un roman comique
"Heart, Be at Peace","Сердце, будь в мире","Cœur, sois en paix"
The Dark Maestro,Темный Маэстро,Le Maître des Ténèbres
The Emperor of Gladness,Император Радости,L'Empereur de la Joie
Run for the Hills,Беги в горы,Courir vers les collines
The Boy from the Sea,Мальчик из моря,Le garçon de la mer
Sleep,Спать,Dormir
Fever Beach,Пляж Лихорадки,Plage de la fièvre
The Remembered Soldier,Памятный солдат,Le soldat dont on se souvient
Awake in the Floating City,Пробудитесь в плавучем городе,Réveillez-vous dans la ville flottante
Happiness Forever,Счастье навсегда,Le bonheur pour toujours
Metallic Realms,Металлические Королевства,Royaumes métalliques
A Sharp Endless Need,Острая бесконечная потребность,Un besoin aigu et sans fin
Circular Motion,Круговое движение,mouvement circulaire
Marble Hall Murders,Убийства в Марбл-Холле,Meurtres de Marble Hall
Where the Rivers Merge,Где сливаются реки,Là où les rivières se rejoignent
Portalmania: Stories,Порталмания: Истории,Portalmania : Histoires
Speak to Me of Home,Поговори со мной о доме,Parlez-moi de la maison
Only Smoke,Только дым,Seulement de la fumée
The Devil Three Times,Дьявол Трижды,Le Diable Trois Fois
State Champ,Чемпион штата,Champion d'État
Gulf,Залив,Golfe
Home of the American Circus,Дом американского цирка,Maison du cirque américain
The Names,Имена,Les noms
The Director,Директор,Le directeur
The Poet's Game: A Spy in Moscow,Игра поэта: Шпион в Москве,Le jeu du poète : un espion à Moscou
The Original Daughter,Первоначальная дочь,La fille originelle
Eternal Summer,Вечное Лето,Été éternel
My Name Is Emilia del Valle,Меня зовут Эмилия дель Валле,Je m'appelle Emilia del Valle
Are You Happy?: Stories,Вы счастливы?: Истории,Êtes-vous heureux ? : Histoires
Old School Indian,Индийский стиль старой школы,Indien de la vieille école
The Manor of Dreams,Усадьба мечты,Le Manoir des Rêves
The Lilac People,Сиреневые люди,Le peuple des lilas
Exit Zero: Stories,Выход Ноль: Истории,Sortie zéro : histoires
Great Big Beautiful Life,"Великая, большая, прекрасная жизнь",Grande et belle vie
Atavists: Stories,Атависты: Истории,Atavistes : Histoires
Fair Play,Справедливо,Fair-play
The Pretender,Самозванец,Le prétendant
Zeal,Рвение,Zèle
Gabriële,Габриэль,Gabriele
"Open, Heaven","Откройтесь, Небеса","Ouvert, Ciel"
The Proof of My Innocence,Доказательство моей невиновности,La preuve de mon innocence
The Fact Checker,Проверка фактов,Le vérificateur de faits
Vanishing World,Исчезающий мир,Monde en voie de disparition
Fish Tales,Рыбьи сказки,Contes de poissons
The Imagined Life,Воображаемая жизнь,La vie imaginée
Friends of the Museum,Друзья музея,Amis du musée
The Griffin Sisters' Greatest Hits,Лучшие хиты сестер Гриффин,Les plus grands succès des Griffin Sisters
My Documents,Мои документы,Mes documents
Sky Daddy,Небесный папочка,Papa du ciel
Terrestrial History,Земная история,Histoire terrestre
Perspective(s),Перспектива(ы),Perspective(s)
Big Chief,Большой Вождь,Grand Chef
The Impossible Thing,Невозможное,La chose impossible
Audition,Прослушивание,Audition
The Float Test,Тест на плавучесть,Le test du flotteur
Rabbit Moon,Кролик Луна,Lapin Lune
Heartwood,Хартвуд,Bois de cœur
Flesh,Плоть,Chair
Bad Nature,Плохая натура,Mauvaise nature
The Gatsby Gambit,Гамбит Гэтсби,Le Gambit de Gatsby
Sons and Daughters,Сыновья и дочери,Fils et filles
Twist,Крутить,Torsion
The Colony,Колония,La colonie
Sister Europe,Сестра Европа,Sœur Europe
Tilt,Наклон,Inclinaison
Counting Backwards,Обратный отсчет,Compter à rebours
Retreat,Отступление,Retraite
Dissolution,Роспуск,Dissolution
The Unwanted,Нежеланный,Les indésirables
Paradise Logic,Райская логика,Logique du paradis
Lucky Night,Счастливая ночь,Nuit chanceuse
Thrilled to Death: Selected Stories,Потрясённые до смерти: избранные рассказы,Mort de joie : histoires choisies
Elphie: A Wicked Childhood,Эльфи: Нехорошее детство,Elphie : une enfance difficile
Hunchback,Горбун,Bossu
Stop Me If You've Heard This One,"Остановите меня, если вы это слышали",Arrêtez-moi si vous avez entendu celle-ci
Hot Air,Горячий воздух,Air chaud
Perfection,Совершенство,Perfection
The Paris Express,Парижский экспресс,Le Paris Express
Theft,Кража,Vol
The Buffalo Hunter Hunter,Охотник на бизонов,Le chasseur de bisons
Wildcat Dome,Купол Wildcat,Dôme Wildcat
The Haunting of Room 904,Призрак комнаты 904,La hantise de la chambre 904
Our Beautiful Boys,Наши прекрасные мальчики,Nos beaux garçons
Madame Sosostris and the Festival for the Broken…,Мадам Сосострис и Фестиваль для сломленных…,Madame Sosostris et le Festival des Brisés…
Rooms for Vanishing,Комнаты для исчезновения,Chambres pour disparaître
33 Place Brugmann,33 Place Brugmann,33 Place Brugmann
The Antidote,Противоядие,L'antidote
Stag Dance: A Novel & Stories,Мальчишник: Роман и рассказы,Danse du cerf : un roman et des histoires
The Californians,Калифорнийцы,Les Californiens
Goddess Complex,Комплекс Богини,Complexe de la déesse
The Human Scale,Человеческий масштаб,L'échelle humaine
"Tongues, Volume 1","Языки, Том 1","Langues, tome 1"
Liquid: A Love Story,Liquid: История любви,Liquide : une histoire d'amour
The Jackal's Mistress,Хозяйка Шакала,La maîtresse du chacal
All the Other Mothers Hate Me,Все остальные матери меня ненавидят,Toutes les autres mères me détestent
The Passenger Seat,Пассажирское сиденье,Le siège passager
Woodworking,Деревообработка,Travail du bois
See Friendship,См. Дружба,Voir Amitié
We Pretty Pieces of Flesh,Мы Милые Кусочки Плоти,Nous sommes de jolis morceaux de chair
The Persians,Персы,Les Perses
The Unworthy,Недостойный,L'indigne
Red Dog Farm,Ферма Красных Собак,Ferme du chien rouge
Allegro,Аллегро,Allegro
Wild Dark Shore,Дикий Темный Берег,Côte sombre et sauvage
The Dream Hotel,Отель Мечты,L'Hôtel de Rêve
Dream Count,Количество снов,Compte des rêves
The Strange Case of Jane O.,Странная история Джейн О.,L'étrange cas de Jane O.
Death Takes Me,Смерть забирает меня,La mort m'emporte
Crush,Раздавить,Écraser
Show Don't Tell: Stories,"Покажи, а не рассказывай: Истории","Montrer, ne pas raconter : des histoires"
Theory & Practice,Теория и практика,Théorie et pratique
Maya & Natasha,Майя и Наташа,Maya et Natasha
The Echoes,Отголоски,Les Échos
Dream State,Состояние сна,État de rêve
