en_US,ru_RU,fr_FR
Focal Press,Focal Press,Focal Press
G-Unit Books,G-Unit Books,G-Unit Books
G. P. Putnam's Sons,G. P. Putnam's Sons,G. P. Putnam's Sons
Gaspereau Press,Gaspereau Press,Gaspereau Press
Gefen Publishing House,Gefen Publishing House,Gefen Publishing House
George H. Doran Company,George H. Doran Company,George H. Doran Company
George Newnes,George Newnes,George Newnes
George Routledge & Sons,George Routledge & Sons,George Routledge & Sons
Godwit Press,Godwit Press,Godwit Press
Golden Cockerel Press,Golden Cockerel Press,Golden Cockerel Press
HMSO,HMSO,HMSO
Hachette Book Group USA,Hachette Book Group USA,Hachette Book Group USA
Hackett Publishing Company,Hackett Publishing Company,Hackett Publishing Company
Hamish Hamilton,Hamish Гамильтон,Hamish Hamilton
Happy House,Happy House,Happy House
Harcourt Assessment,Harcourt Assessment,Harcourt Assessment
Harcourt Trade Publishers,Harcourt Trade Publishers,Harcourt Trade Publishers
Harlequin Enterprises Ltd,Harlequin Enterprises Ltd,Harlequin Enterprises Ltd
Harper & Brothers,Harper & Brothers,Harper & Brothers
Harper & Row,Harper & Row,Harper & Row
HarperCollins,HarperCollins,HarperCollins
HarperPrism,HarperPrism,HarperPrism
HarperTrophy,HarperTrophy,HarperTrophy
"Harry N. Abrams, Inc.","Harry N. Abrams, Inc.","Harry N. Abrams, Inc."
Harvard University Press,Harvard University Press,Harvard University Press
Harvest House,Harvest House,Harvest House
Harvill Press at Random House,Harvill Press at Random House,Harvill Press at Random Maison
Hawthorne Books,Hawthorne Books,Livres Hawthorne
Hay House,Hay House,Hay House
Haynes Manuals,Haynes Manuals,Manuels Haynes
Heyday Books,Heyday Books,Livres Heyday
Hodder & Stoughton,Hodder & Stoughton,Hodder & Stoughton
Hodder Headline,Hodder Headline,Hodder Headline
Hogarth Press,Hogarth Press,Presses Hogarth
Holland Park Press,Holland Park Press,Presses Holland Park
Holt McDougal,Holt McDougal,Holt McDougal
Horizon Scientific Press,Horizon Scientific Press,Presses scientifiques Horizon
Ian Allan Publishing,Ian Allan Publishing,Éditions Ian Allan
Ignatius Press,Ignatius Press,Presses Ignatius
Imperial War Museum,Imperial War Museum,Musée impérial de la guerre
Indiana University Press,Indiana University Press,Presses universitaires de l'Indiana
J. M. Dent,J. M. Dent,J. M. Dent
Jaico Publishing House,Jaico Publishing House,Maison d'édition Jaico
Jarrolds Publishing,Jarrolds Publishing,Éditions Jarrolds
John Blake Publishing,John Blake Publishing,Éditions John Blake
Karadi Tales,Karadi Tales,Contes Karadi
Kensington Books,Kensington Books,Livres Kensington
Kessinger Publishing,Kessinger Издательство,Éditions Kessinger
Kodansha,Kodansha,Kodansha
Kogan Page,Kogan Page,Page Kogan
Koren Publishers Jerusalem,Koren Publishers Jerusalem,Éditeurs Koren Jérusalem
Ladybird Books,Ladybird Books,Livres Ladybird
Leaf Books,Leaf Books,Livres Leaf
Leafwood Publishers,Leafwood Publishers,Éditeurs Leafwood
Left Book Club,Left Book Club,Club de lecture de gauche
Legend Books,Legend Books,Livres Legend
Lethe Press,Lethe Press,Presses Lethe
Libertas Academica,Libertas Academica,Libertas Academica
Liberty Fund,Liberty Fund,Fonds Liberty
Library of America,Library of America,Bibliothèque d'Amérique
Lion Hudson,Lion Hudson,Lion Hudson
Macmillan Publishers,Macmillan Publishers,Éditeurs Macmillan
Mainstream Publishing,Mainstream Publishing,Éditions grand public
Manchester University Press,Manchester University Press,Presses universitaires de Manchester
Mandrake Press,Mandrake Press,Presses Mandrake
Mandrake of Oxford,Mandrake of Oxford,Mandrake d'Oxford
Manning Publications,Manning Publications,Éditions Manning
Manor House Publishing,Manor House Publishing,Éditions Manor House
Mapin Publishing,Mapin Publishing,Éditions Mapin
Marion Boyars Publishers,Marion Boyars Publishers,Éditeurs Marion Boyars
Mark Batty Publisher,Mark Batty Publisher,Mark Éditions Batty
Marshall Cavendish,Marshall Cavendish,Marshall Cavendish
Marshall Pickering,Marshall Pickering,Marshall Pickering
Martinus Nijhoff Publishers,Martinus Nijhoff Publishers,Éditions Martinus Nijhoff
Mascot Books,Mascot Books,Mascotte Books
Matthias Media,Matthias Media,Matthias Media
McClelland and Stewart,McClelland and Stewart,McClelland et Stewart
McFarland & Company,McFarland & Company,McFarland & Company
McGraw Hill Financial,McGraw Hill Financial,McGraw Hill Financial
McGraw-Hill Education,McGraw-Hill Education,McGraw-Hill Education
Medknow Publications,Medknow Publications,Medknow Publications
Naiad Press,Naiad Press,Naiad Press
Nauka,Nauka,Nauka
NavPress,NavPress,NavPress
New Directions Publishing,New Directions Publishing,New Directions Publishing
New English Library,New English Библиотека,New English Library
New Holland Publishers,Издательство New Holland,New Holland Publishers
New Village Press,Издательство New Village Press,New Village Press
Newnes,Newnes,Newnes
No Starch Press,Издательство No Starch Press,No Starch Press
Nonesuch Press,Издательство Nonesuch Press,Nonesuch Press
O'Reilly Media,Издательство O'Reilly Media,O'Reilly Media
Oberon Books,Издательство Oberon Books,Oberon Books
Open Court Publishing Company,Издательство Open Court,Open Court Publishing Company
Open University Press,Издательство Open University Press,Open University Press
Orchard Books,Издательство Orchard Books,Orchard Books
Orion Books,Издательство Orion Books,Orion Books
Packt Publishing,Издательство Packt Publishing,Packt Publishing
Palgrave Macmillan,Издательство Palgrave Macmillan,Palgrave Macmillan
Pan Books,Издательство Pan Books,Pan Books
Pantheon Books at Random House,Издательство Pantheon Books в Random House,Pantheon Books chez Random House
Papadakis Publisher,Издательство Papadakis,Papadakis Publisher
Parachute Publishing,Издательство Parachute Publishing,Parachute Publishing
Parragon,Издательство Parragon,Parragon
Pathfinder Press,Издательство Pathfinder Press,Pathfinder Press
Paulist Press,Издательство Paulist Press,Paulist Press
Pavilion Books,Издательство Pavilion Books,Pavilion Books
Peace Hill Press,Издательство Peace Hill Press,Peace Hill Press
Pecan Grove Press,Издательство Pecan Grove Press,Pecan Grove Press
Pen and Sword Books,Издательство Pen and Sword Books,Pen and Sword Books
Penguin Books,Издательство Penguin Books,Penguin Books
Random House,Издательство Random House,Random House
Reed Elsevier,Издательство Reed Elsevier,Reed Elsevier
Reed Publishing,Издательство Reed Publishing,Reed Édition
SAGE Publications,Издательство SAGE Publications,SAGE Publications
Salt Publishing,Издательство Salt Publishing,Salt Publishing
Sams Publishing,Издательство Sams Publishing,Sams Publishing
Schocken Books,Издательство Schocken Books,Schocken Books
Scholastic Press,Издательство Scholastic Press,Scholastic Press
Seagull Books,Издательство Seagull Books,Seagull Books
Secker & Warburg,Издательство Secker & Warburg,Secker & Warburg
Shambhala Publications,Издательство Shambhala Publications,Shambhala Publications
Shire Books,Издательство Shire Books,Shire Books
Shoemaker & Hoard Publishers,Издательство Shoemaker & Hoard Publishers,Shoemaker & Hoard Publishers
Shuter & Shooter Publishers,Издательство Shuter & Shooter Publishers,Shuter & Shooter Publishers
Sidgwick & Jackson,Sidgwick & Jackson,Sidgwick & Jackson
Signet Books,Signet Books,Signet Books
Simon & Schuster,Simon & Schuster,Simon & Schuster
St. Martin's Press,St. Martin's Press,St. Martin's Press
T & T Clark,T & T Clark,T & T Clark
Tachyon Publications,Tachyon Publications,Tachyon Publications
Tammi,Tammi,Tammi
Target Books,Target Books,Target Books
Tarpaulin Sky Press,Tarpaulin Sky Press,Tarpaulin Sky Press
Tartarus Press,Tartarus Press,Tartarus Press
Tate Publishing & Enterprises,Tate Publishing & Enterprises,Tate Publishing & Enterprises
Taunton Press,Taunton Press,Taunton Press
Taylor & Francis,Taylor & Francis,Taylor & Francis
Ten Speed Press,Ten Speed Press,Ten Speed Press
UCL Press,UCL Press,UCL Press
Unfinished Monument Press,Unfinished Monument Press,Unfinished Monument Press
United States Government Publishing Office,United States Government Publishing Office,United States Government Publishing Office
University of Akron Press,University Press of Akron,University of Akron Press
University of Alaska Press,University Press of Alaska,University of Alaska Press
University of California Press,University Press of California,University of California Press
University of Chicago Press,University Press of Chicago Press,University of Chicago Press
University of Michigan Press,University Press of Michigan Press,University of Michigan Press
University of Minnesota Press,University Press of Minnesota Press,University of Minnesota Press
University of Nebraska Press,University Press of Nebraska Press,University of Nebraska Press
Velazquez Press,Velazquez Press,Velazquez Press
Verso Books,Verso Books,Verso Books
Victor Gollancz Ltd,Victor Gollancz Ltd,Victor Gollancz Ltd
Viking Press,Viking Press,Viking Press
Vintage Books,Vintage Books,Livres anciens
Vintage Books at Random House,Vintage Books at Random House,Anciens Livres chez Random House
Virago Press,Virago Press,Virago Press
Virgin Publishing,Virgin Publishing,Virgin Publishing
Voyager Books,Voyager Books,Voyager Books
Zed Books,Zed Books,Zed Books
Ziff Davis Media,Ziff Davis Media,Ziff Davis Media
Zondervan,Zondervan,Zondervan
